player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Emanuel Emegha,RC Strasbourg,""ST"",78,22,88,75,58,67,81,82,195,Left,2023-07-23,2028-06-01,26000000"
"Guéla Doué,RC Strasbourg,""RB CB RM"",77,22,71,52,65,71,78,80,187,Right,2024-07-26,2029-06-01,18000000"
"Diego Moreira,RC Strasbourg,""RM LM LB RB"",77,20,90,66,66,80,71,62,179,Left,2024-08-16,2029-06-01,19500000"
"Valentín Barco,RC Strasbourg,""CM CDM"",77,20,78,56,77,79,66,48,170,Left,2025-07-02,2029-06-01,24500000"
"Ben Chilwell,RC Strasbourg,""LB LM"",77,28,70,63,76,73,69,68,180,Left,2025-09-02,2027-06-01,11500000"
"Joaquín Panichelli,RC Strasbourg,""ST"",76,22,68,75,62,71,82,86,190,Right,2025-07-28,2030-06-01,20000000"
"Mike Penders,RC Strasbourg,""GK"",76,19,23,18,39,40,48,72,200,Left,2024-08-27,2026-06-30,16500000"
"Ismaël Doukouré,RC Strasbourg,""CB CDM CM"",76,21,63,44,54,66,76,80,183,Right,2022-01-29,2028-06-01,13000000"
"Sebastian Nanasi,RC Strasbourg,""CAM LM CM"",74,23,71,64,71,80,63,58,178,Right,2024-08-23,2029-06-01,13500000"
"Julio César Enciso,RC Strasbourg,""CAM ST"",75,21,75,70,69,77,54,42,173,Right,2025-09-01,2029-06-01,15000000"
"Aaron Anselmino,RC Strasbourg,""CB"",74,20,67,43,59,66,75,77,186,Right,2024-08-08,2026-06-30,10000000"
"Andrew Omobamidele,RC Strasbourg,""CB"",73,23,69,29,44,59,75,81,188,Right,2025-07-01,2029-06-01,4900000"
"Samir El Mourabet,RC Strasbourg,""CM CDM"",72,19,60,53,60,69,62,64,186,Left,2023-12-20,2030-06-01,6000000"
"Lucas Høgsberg,RC Strasbourg,""CB"",72,19,67,35,52,66,72,74,187,Right,2025-08-09,2030-06-01,5500000"
"Junior Mwanga,RC Strasbourg,""CDM CM"",72,22,66,51,55,68,73,74,184,Right,2023-08-08,2027-06-01,4100000"
"Soumaila Coulibaly,RC Strasbourg,""CB"",72,21,85,35,46,65,79,81,191,Left,2025-07-07,2026-06-30,6000000"
"David Datro Fofana,RC Strasbourg,""ST"",72,22,83,69,58,73,74,78,182,Right,2023-01-01,2026-06-30,6500000"
"Mathis Amougou,RC Strasbourg,""CM CDM"",72,19,72,54,64,74,68,65,177,Right,2025-07-12,2030-06-01,6000000"
"Abakar Sylla,RC Strasbourg,""CB"",71,22,66,33,50,69,75,76,188,Left,2023-07-15,2026-06-30,4600000"
"Abdoul Ouattara,RC Strasbourg,""RM CM RW"",71,19,77,54,61,72,65,64,178,Right,2024-10-06,2029-06-01,4800000"
"Samuel Amo-Ameyaw,RC Strasbourg,""CAM RM CM"",70,18,78,58,62,75,47,40,174,Left,2025-07-01,2029-06-01,4000000"
"Martial Godo,RC Strasbourg,""LM RM LW"",70,22,79,59,59,74,54,37,169,Right,2025-09-01,2030-06-01,4200000"
"Sékou Mara,RC Strasbourg,""ST"",70,22,76,67,49,66,68,73,183,Right,2024-08-21,2026-06-30,3900000"
"Pape Demba Diop,RC Strasbourg,""CDM CM CAM"",69,21,78,54,62,68,69,64,182,Right,2025-09-01,2026-06-30,3500000"
"Maxi Oyedele,RC Strasbourg,""CM CDM CAM"",69,20,70,56,62,70,66,67,183,Right,2025-07-16,2030-06-01,3600000"
"Karl-Johan Johnsson,RC Strasbourg,""GK"",69,35,41,21,28,37,46,64,188,Right,2024-08-16,2026-06-01,180000"
"Rafael Luís,RC Strasbourg,""CDM CM"",69,20,61,51,60,63,68,72,188,Left,2023-09-25,2026-06-30,3700000"
"Gessime Yassine,RC Strasbourg,""RM LM RW"",69,19,66,60,65,76,48,35,173,Left,2026-01-17,2030-06-01,3900000"
"Stefan Bajic,RC Strasbourg,""GK"",65,23,24,15,21,31,33,41,188,Right,2025-08-16,2026-06-01,1600000"
"Amadou Cissé,RC Strasbourg,""CB"",62,19,59,27,32,49,60,62,183,Right,2025-08-15,2028-06-01,950000"
