player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Ludovic Ajorque,Stade Brestois 29,""ST"",77,31,62,76,58,64,81,94,196,Left,2024-09-09,2027-06-01,10500000"
"Brendan Chardonnet,Stade Brestois 29,""CB"",77,30,47,49,48,66,75,82,181,Right,2014-07-01,2027-06-01,10000000"
"Hugo Magnetti,Stade Brestois 29,""CDM CM"",76,27,44,57,64,74,73,74,172,Right,2018-07-01,2027-06-01,9500000"
"Romain Del Castillo,Stade Brestois 29,""RM RW"",76,29,82,74,75,79,67,61,172,Left,2021-08-31,2027-06-01,8500000"
"Kenny Lala,Stade Brestois 29,""RB RM"",76,33,75,63,73,71,76,71,178,Right,2023-01-01,2027-06-01,4600000"
"Kamory Doumbia,Stade Brestois 29,""CAM CM"",75,22,69,69,67,78,60,48,170,Right,2024-08-30,2029-06-01,10500000"
"Bradley Locko,Stade Brestois 29,""LB LM"",75,23,73,49,59,69,68,66,180,Left,2023-07-27,2027-06-01,9500000"
"Radosław Majecki,Stade Brestois 29,""GK"",75,25,32,22,20,40,46,61,193,Right,2020-01-29,2026-06-30,7000000"
"Joris Chotard,Stade Brestois 29,""CDM CM"",74,23,64,57,70,74,73,66,179,Right,2025-08-23,2029-06-01,6500000"
"Lucas Tousart,Stade Brestois 29,""CDM CM"",74,28,60,55,57,68,79,80,185,Right,2025-09-01,2026-06-01,4400000"
"Mama Baldé,Stade Brestois 29,""LW ST LM"",73,29,88,70,64,73,78,75,176,Right,2024-08-30,2027-06-01,3500000"
"Rémy Labeau Lascary,Stade Brestois 29,""ST RM LM RW"",72,22,76,70,60,68,62,62,184,Right,2023-01-01,2026-06-30,5500000"
"Soumaila Coulibaly,Stade Brestois 29,""CB"",72,21,85,35,46,65,79,81,191,Left,2025-07-07,2026-06-30,6000000"
"Junior Dina Ebimbe,Stade Brestois 29,""RM RW"",72,24,80,61,65,75,75,76,184,Right,2023-07-01,2026-06-30,3800000"
"Junior Diaz,Stade Brestois 29,""CB"",71,21,79,30,46,55,76,81,193,Right,2024-08-08,2026-06-30,4600000"
"Pathé Mboup,Stade Brestois 29,""LM ST LW"",70,21,87,62,56,72,59,59,175,Right,2025-09-01,2030-06-01,4200000"
"Grégoire Coudert,Stade Brestois 29,""GK"",70,26,34,16,18,29,45,66,188,Left,2021-07-05,2027-06-01,2000000"
"Daouda Guindo,Stade Brestois 29,""LB LM"",70,22,85,45,54,68,72,61,183,Left,2025-08-26,2026-06-01,2400000"
"Luck Zogbé,Stade Brestois 29,""RB LB"",68,20,66,35,48,60,63,59,178,Right,2023-10-26,2029-06-01,3000000"
"Hamidou Makalou,Stade Brestois 29,""CDM CM"",64,18,62,53,53,68,55,46,164,Right,2025-03-15,2029-06-01,1700000"
"Raphaël Le Guen,Stade Brestois 29,""CB"",62,18,63,26,33,45,64,76,196,Right,2025-07-01,2029-06-01,1000000"
"Serigne Saliou Diop,Stade Brestois 29,""ST"",58,20,62,60,40,57,51,67,187,Right,2024-08-31,2026-06-01,575000"
"Noah Jauny,Stade Brestois 29,""GK"",58,20,29,14,19,25,42,65,194,Right,2024-07-01,2027-06-01,500000"
