player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Brice Samba,Stade Rennais,""GK"",80,31,55,20,30,48,54,78,187,Left,2025-01-08,2029-06-01,13000000"
"Valentin Rongier,Stade Rennais,""CDM CM"",79,30,63,67,70,79,77,78,174,Right,2025-07-21,2028-06-01,17500000"
"Mahdi Camara,Stade Rennais,""CM CAM"",76,27,73,65,69,76,77,74,179,Right,2025-08-13,2029-06-01,14000000"
"Sebastian Szymański,Stade Rennais,""CAM CM RW"",77,26,77,71,78,78,70,57,174,Left,2026-01-22,2029-06-01,15500000"
"Breel Embolo,Stade Rennais,""ST"",77,28,78,74,68,72,80,85,187,Right,2025-09-02,2029-06-01,12500000"
"Jérémy Jacquet,Stade Rennais,""CB"",76,19,64,37,52,62,77,81,188,Right,2022-09-20,2029-06-01,18000000"
"Quentin Merlin,Stade Rennais,""LB LM"",76,23,75,63,74,76,67,56,174,Left,2025-07-22,2029-06-01,13000000"
"Lilian Brassier,Stade Rennais,""CB"",76,25,67,40,58,67,77,78,186,Left,2025-07-01,2029-06-01,11000000"
"Ludovic Blas,Stade Rennais,""RM RW CAM"",76,27,72,77,75,78,64,63,180,Left,2023-07-06,2027-06-01,9500000"
"Przemysław Frankowski,Stade Rennais,""RB RM"",76,30,86,72,72,75,73,67,175,Right,2025-07-01,2026-06-30,7500000"
"Estéban Lepaul,Stade Rennais,""ST CAM CM"",76,25,75,76,59,73,72,71,177,Right,2025-08-29,2029-06-01,13000000"
"Mousa Al Tamari,Stade Rennais,""LM ST LB LW"",75,28,89,68,67,81,67,63,178,Left,2025-02-03,2028-06-01,6500000"
"Anthony Rouault,Stade Rennais,""CB"",75,24,60,33,54,67,74,74,186,Right,2025-02-03,2029-06-01,9000000"
"Alidu Seidu,Stade Rennais,""CB RB"",74,25,64,45,56,70,68,70,173,Right,2024-01-29,2029-06-01,6500000"
"Hans Hateboer,Stade Rennais,""CB RB RM"",74,31,70,54,61,69,76,75,187,Right,2024-08-06,2026-06-30,3400000"
"Glen Kamara,Stade Rennais,""CDM CM"",73,29,74,58,64,77,73,72,178,Right,2024-07-16,2028-06-01,3100000"
"Djaoui Cissé,Stade Rennais,""CM CDM"",73,21,65,64,64,71,67,70,188,Right,2024-02-02,2030-06-01,8000000"
"Arnaud Nordin,Stade Rennais,""RM LM ST RW"",72,27,77,68,67,74,56,64,170,Left,2025-01-28,2026-06-30,2900000"
"Abdelhamid Ait Boudlal,Stade Rennais,""CB"",70,19,72,35,48,57,71,81,190,Right,2024-07-02,2028-06-01,4200000"
"Mahamadou Nagida,Stade Rennais,""LB"",66,20,77,48,54,68,57,51,176,Left,2023-08-21,2029-06-01,2300000"
"Yassir Zabiri,Stade Rennais,""ST"",68,20,72,65,56,68,51,55,177,Left,2026-02-02,2029-06-01,2400000"
"Mathys Silistrie,Stade Rennais,""GK"",65,19,33,17,22,31,39,52,187,Left,2025-07-01,2029-06-01,1700000"
"Nordan Mukiele,Stade Rennais,""LM ST LW"",64,19,71,54,55,62,55,61,184,Right,2025-08-24,2028-06-01,1600000"
"Lucas Rosier,Stade Rennais,""LM LW"",63,18,82,54,56,72,46,44,171,Right,2024-11-27,2028-06-01,1400000"
"Elías Legendre Quiñonez,Stade Rennais,""RM RW"",61,17,73,50,50,63,53,55,179,Right,2025-12-03,2029-06-01,975000"
