player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
"Guillaume Restes,Toulouse FC,""GK"",78,20,41,18,34,39,47,65,188,Left,2021-07-26,2028-06-01,28000000"
"Charlie Cresswell,Toulouse FC,""CB"",76,22,55,32,45,58,77,79,191,Right,2024-07-08,2028-06-01,13000000"
"Rasmus Nicolaisen,Toulouse FC,""CB"",76,28,49,40,50,63,79,84,191,Left,2021-08-18,2027-06-01,9000000"
"Yann Gboho,Toulouse FC,""LW RW CAM LM"",75,24,80,66,66,78,64,61,178,Right,2024-01-08,2027-06-01,9000000"
"Aron Dønnum,Toulouse FC,""RM LM RW"",75,27,82,67,69,77,75,72,178,Left,2023-09-01,2027-06-01,7000000"
"Djibril Sidibé,Toulouse FC,""RB RM CB"",75,32,64,54,69,68,74,75,183,Right,2024-08-02,2026-06-01,4600000"
"Cristian Cásseres Jr,Toulouse FC,""CDM CM"",74,25,77,60,68,73,77,67,176,Right,2023-07-10,2027-06-01,6500000"
"Mark McKenzie,Toulouse FC,""CB"",74,26,80,35,42,67,78,80,184,Right,2024-08-16,2027-06-01,6500000"
"Frank Magri,Toulouse FC,""ST LW RW"",72,25,78,71,57,71,63,69,178,Right,2023-07-21,2026-06-01,3700000"
"Warren Kamanzi,Toulouse FC,""RB RM CM"",72,24,81,51,60,72,69,62,177,Right,2023-01-02,2026-06-01,3900000"
"Emersonn,Toulouse FC,""ST LW LM"",71,20,79,68,56,70,72,77,186,Right,2025-09-01,2029-06-01,4900000"
"Santiago Hidalgo,Toulouse FC,""RW CAM RM"",70,20,77,63,64,72,62,72,175,Left,2025-07-31,2029-06-01,4100000"
"Kjetil Haug,Toulouse FC,""GK"",70,27,46,22,29,37,44,59,191,Right,2022-06-27,2026-06-01,2000000"
"Dayann Methalie,Toulouse FC,""LB LM"",70,19,88,38,53,65,76,75,186,Left,2024-08-18,2030-06-01,3900000"
"Pape Demba Diop,Toulouse FC,""CDM CM CAM"",69,21,78,54,62,68,69,64,182,Right,2025-09-01,2026-06-30,3500000"
"Jacen Russell-Rowe,Toulouse FC,""ST CAM"",72,22,76,64,47,63,67,81,183,Right,2026-02-02,2026-06-01,3200000"
"Abu Francis,Toulouse FC,""CM CDM"",68,24,72,63,62,70,72,71,184,Right,2025-08-06,2029-06-01,2200000"
"Alexis Vossah,Toulouse FC,""CDM CM"",68,17,70,46,52,66,70,73,181,Left,2025-08-16,2028-06-01,3100000"
"Mario Sauer,Toulouse FC,""CM CAM CDM"",68,21,72,63,63,66,64,57,180,Right,2025-07-01,2028-06-01,3200000"
"Álex Domínguez,Toulouse FC,""GK"",66,26,43,17,28,42,35,41,186,Left,2023-07-27,2027-06-01,1100000"
"Julián Vignolo,Toulouse FC,""ST RW"",66,18,74,64,52,63,62,68,185,Right,2025-08-20,2029-06-01,2400000"
"Rafik Messali,Toulouse FC,""RB RM"",64,22,73,42,57,62,63,63,177,Right,2024-04-28,2028-06-01,1500000"
"Noah Lahmadi,Toulouse FC,""CM CDM"",62,20,63,53,56,63,58,54,178,Right,2023-05-16,2026-06-01,1000000"
"Darris Zema,Toulouse FC,""RW CAM RM"",62,18,69,54,61,71,45,38,169,Left,2025-07-01,2028-06-01,1100000"
"Nicolas Wasbauer,Toulouse FC,""CB"",62,20,56,29,39,54,64,69,186,Right,2024-01-14,2027-06-01,1100000"
"Frédéric Efuele Ngoyala,Toulouse FC,""CB CDM CM"",61,20,63,35,38,53,62,63,180,Right,2025-07-01,2028-06-01,875000"
"Seny Koumbassa,Toulouse FC,""CB"",61,18,57,33,37,48,65,71,194,Right,2025-07-01,2030-06-01,850000"
"Enzo Faty,Toulouse FC,""ST"",61,18,76,59,45,58,61,75,189,Right,2025-07-01,2030-06-01,900000"
"Ilyas Azizi,Toulouse FC,""LW ST LM"",61,17,77,55,52,70,45,45,173,Right,2025-05-03,2028-06-01,975000"
"Gaëtan Bakhouche,Toulouse FC,""CB LB"",59,20,67,36,41,52,58,58,186,Left,2025-07-01,2028-06-01,600000"
"Naïme Saïd Mchindra,Toulouse FC,""GK"",58,20,30,14,18,30,36,49,185,Right,2025-07-01,2028-06-01,0"
