player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Marco Carnesecchi,Bergamo Calcio,GK,85+1,25,32,18,27,36,42,55,191,Right,2019-07-01,2028-06-01,65000000
Éderson,Bergamo Calcio,CM CDM,82,25,78,68,72,77,82,77,183,Right,2022-07-06,2027-06-01,47000000
Charles De Ketelaere,Bergamo Calcio,CAM ST CM,82,24,72,78,79,77,70,69+1,192,Left,2024-07-01,2028-06-01,51500000
Marten de Roon,Bergamo Calcio,CM CDM,81,34,60,74,71,75,81,73,186,Right,2017-08-10,2026-06-01,14000000
Odilon Kossounou,Bergamo Calcio,CB,80,24,79,34,54,67,78,79,191,Right,2025-07-01,2029-06-01,34000000
Mario Pašalić,Bergamo Calcio,CM CAM CDM,79,30,69,75,73,74,76,72,188,Right,2020-09-01,2028-06-01,20000000
Davide Zappacosta,Bergamo Calcio,LM RM LB,79,33,76,72,74,75,73,61,182,Right,2021-08-24,2026-06-01,13000000
Berat Djimsiti,Bergamo Calcio,CB,79,32,64,41,53,59,80,79,190,Right,2016-01-18,2026-06-01,13500000
Giorgio Scalvini,Bergamo Calcio,CB,78+1,21,66,37,49,61,73,71,194,Right,2021-07-09,2028-06-01,35000000
Isak Hien,Bergamo Calcio,CB,78,26,69,39,42,59,80,89,191,Right,2024-01-02,2028-06-01,19500000
Giacomo Raspadori,Bergamo Calcio,ST LM CAM,78,25,80,78,70,82,64,56,172,Right,2026-01-15,2030-06-01,22000000
Raoul Bellanova,Bergamo Calcio,RM RB,78,25,86,50,65,71,76,71,188,Right,2024-08-22,2029-06-01,20000000
Gianluca Scamacca,Bergamo Calcio,ST,78,26,65,78,66,71,70,83,196,Right,2023-08-07,2027-06-01,20000000
Sead Kolašinac,Bergamo Calcio,CB,78,32,61,62,63,67,81,82,183,Left,2023-07-06,2026-06-01,11000000
Nicola Zalewski,Bergamo Calcio,LM RM CAM LB,77+1,23,83,69,74,77,62,49,175,Right,2025-08-18,2029-06-01,16000000
Nikola Krstović,Bergamo Calcio,ST,76+1,25,66,75,57,68,75,80,185,Right,2025-08-20,2030-06-01,12500000
Lazar Samardžić,Bergamo Calcio,CM CDM CAM,76,23,70,69,74,76,59,64,184,Left,2025-07-01,2029-06-01,14000000
Marco Sportiello,Bergamo Calcio,GK,76,33,43,24,38,48,48,66,192,Right,2025-07-18,2028-06-01,2900000
Mitchel Bakker,Bergamo Calcio,LB LM RM,75,25,79,61,65,70,82,81,189,Left,2023-07-07,2027-06-01,9000000
Daniel Maldini,Bergamo Calcio,CAM CM,74,23,70,72,75,72,63,67,188,Right,2025-02-02,2026-06-30,10000000
Yunus Musah,Bergamo Calcio,CM CDM RM CAM,74,22,88,66,67,77,78,71,178,Right,2023-08-04,2026-06-30,11000000
Marco Palestra,Bergamo Calcio,RB RM,72+2,20,84,59,62,70,71,67+3,186,Right,2024-08-19,2026-06-30,6000000
Ibrahim Sulemana,Bergamo Calcio,CDM CM,72+1,22,72,62,61,72,75,67+1,180,Right,2024-07-17,2026-06-30,6000000
Marco Brescianini,Bergamo Calcio,CM CAM,72+1,25,63,66,66,68,72,73,188,Left,2025-07-01,2026-06-30,3600000
Kamaldeen Sulemana,Bergamo Calcio,CAM LM ST CM,72,23,88,63,65,77,60,60,175,Right,2025-07-02,2029-06-01,4000000
Honest Ahanor,Bergamo Calcio,LB CB,70+2,17,70,44,52,61,65,60+5,184,Left,2025-07-04,2027-06-01,3700000
Lorenzo Bernasconi,Bergamo Calcio,LM LB,68+3,21,71,56,59,64,65,65+4,190,Left,2025-07-01,2028-06-01,3200000
Relja Obrić,Bergamo Calcio,CB,65,19,54,32,38,48,66,74,194,Left,2025-07-01,2028-06-01,1700000
Francesco Rossi,Bergamo Calcio,GK,62,34,22,19,20,38,25,30,193,Right,2009-08-01,2026-06-01,80000
