player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Riccardo Orsolini,Bologna,RM RW,83,28,80,81,79,80,67,71,183,Left,2019-07-01,2027-06-01,43000000
Remo Freuler,Bologna,CDM CM,82,33,58,71,73,76,73,67,180,Right,2023-09-01,2026-06-01,18000000
Łukasz Skorupski,Bologna,GK,79,34,51,22,25,44,46,58,188,Right,2018-07-01,2027-06-01,3500000
Lewis Ferguson,Bologna,CDM CM CAM,78,25,72,79,72,77,79,70,185,Right,2022-07-12,2027-06-01,20000000
João Mário,Bologna,RB RM,77,25,84,65,66,76,71,60,179,Right,2025-07-24,2026-06-30,15000000
Santiago Castro,Bologna,ST,76,20,79,73,60,75,73,67,178,Right,2024-01-30,2028-06-01,19500000
Thijs Dallinga,Bologna,ST,76,24,71,74,62,70,63,65,190,Right,2024-07-23,2028-06-01,13500000
Juan Miranda,Bologna,LB LM,76,25,80,60,73,70,72,63,185,Left,2024-07-03,2027-06-01,11000000
Jens Odgaard,Bologna,CAM CM,76,26,74,74,69,72,76,75,191,Left,2024-07-01,2027-06-01,10500000
Jhon Lucumí,Bologna,CB,76,27,65,39,56,62,78,81,187,Left,2022-08-18,2026-06-01,9500000
Federico Bernardeschi,Bologna,RM ST RW,76,31,73,74,78,78,67,69,184,Left,2025-07-19,2027-06-01,7500000
Jonathan Rowe,Bologna,LM RM LW,75,22,85,70,65,77,67,64,174,Right,2025-08-24,2029-06-01,13500000
Nikola Moro,Bologna,CDM CM,75,27,66,72,73,71,73,70,184,Right,2023-07-02,2027-06-01,7000000
Nicolò Casale,Bologna,CB,75,27,73,53,62,67,77,77,192,Right,2025-07-01,2028-06-01,7000000
Nicolò Cambiaghi,Bologna,LM LW,74,24,75,71,65,75,66,61,176,Right,2024-07-12,2029-06-01,6500000
Martin Vitík,Bologna,CB,74,22,73,38,48,60,76,81,193,Right,2025-07-06,2029-06-01,7500000
Tommaso Pobega,Bologna,CM CDM,74,25,74,74,68,74,77,72,189,Right,2018-07-01,2026-06-30,6500000
Emil Holm,Bologna,RB RM,74,25,83,62,62,66,80,82,192,Right,2024-07-01,2026-06-30,6500000
Simon Sohm,Bologna,CM CDM CAM,74,24,76,67,65,70,81,80,188,Right,2025-08-04,2026-06-30,7500000
Michel Aebischer,Bologna,CM CDM,74,28,67,64,70,74,71,69,183,Right,2022-07-01,2026-06-30,5000000
Giovanni Fabbian,Bologna,CM CAM CDM,73,22,68,70,70,72,63,55,189,Right,2023-08-20,2026-06-30,8000000
Benjamín Domínguez,Bologna,LM LW,73,21,84,64,65,73,57,42,173,Right,2024-08-28,2029-06-01,8000000
Nadir Zortea,Bologna,RB RM,73,26,77,68,67,71,75,73,187,Right,2025-08-20,2029-06-01,3900000
Torbjørn Heggem,Bologna,CB LB,73,26,73,46,56,66,78,82,192,Left,2025-08-15,2027-06-01,4200000
Charalampos Lykogiannis,Bologna,LB LM,73,31,75,69,74,61,72,79,191,Left,2022-07-01,2026-06-01,2600000
Lorenzo De Silvestri,Bologna,RB RM,71,37,58,65,68,66,72,76,187,Right,2020-09-17,2026-06-01,500000
Federico Ravaglia,Bologna,GK,70,25,37,18,24,31,40,48,197,Right,2017-07-01,2028-06-01,2200000
Eivind Helland,Bologna,CB RB,67+2,20,70,44,48,59,71,74+4,196,Right,2026-01-16,2030-06-01,2700000
Massimo Pessina,Bologna,GK,54+2,17,29,15,21,29,39,55,188,Right,2025-07-01,2028-06-01,300000
