player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Elia Caprile,Cagliari,GK,77,23,51,17,30,47,46,58,191,Right,2025-07-01,2029-06-01,21000000
Yerry Mina,Cagliari,CB,76,30,34,51,46,54,81,91,195,Right,2024-02-01,2028-06-01,7000000
Michael Folorunsho,Cagliari,CM CAM CDM,75,27,73,76,69,71,79,79,190,Right,2019-07-15,2026-06-30,7000000
Sebastiano Esposito,Cagliari,ST CAM,75,22,75,74,76,75,66,61,183,Right,2019-10-26,2026-06-30,13500000
Andrea Belotti,Cagliari,ST,75,31,67,76,53,73,79,78,181,Right,2025-09-01,2026-06-01,5500000
Zé Pedro,Cagliari,CB,73,28,68,52,61,66,73,72,187,Right,2025-09-01,2028-06-01,3600000
Michel Ndary Adopo,Cagliari,CM CDM,73,24,70,60,64,70,77,78,187,Right,2025-07-01,2029-06-01,4900000
Gabriele Zappa,Cagliari,RB CB,73,25,74,60,62,67,71,64,183,Right,2021-07-01,2030-06-01,4400000
Gianluca Gaetano,Cagliari,CAM CM,73,25,65,71,73,74,58,56,180,Right,2025-07-01,2029-06-01,4800000
Alberto Dossena,Cagliari,CB,73,26,50,46,47,61,73,75,195,Right,2024-07-01,2026-06-30,4200000
Marco Palestra,Cagliari,RB RM,72+2,20,84,59,62,70,71,67+3,186,Right,2024-08-19,2026-06-30,6000000
Semih Kılıçsoy,Cagliari,ST LW LM,72,19,73,70,66,74,73,74,178,Right,2021-11-25,2026-06-30,6000000
Matteo Prati,Cagliari,CDM CM,72,21,61,67,70,70,68,66,185,Right,2023-08-17,2026-06-30,6000000
Ibrahim Sulemana,Cagliari,CDM CM,72+1,22,72,62,61,72,75,67+1,180,Right,2024-07-17,2026-06-30,6000000
Mattia Felici,Cagliari,LM LB LW,72,24,86,66,64,73,63,51,181,Right,2024-07-10,2027-06-01,4000000
Luca Mazzitelli,Cagliari,CM CDM,72,29,43,68,74,68,65,68,184,Right,2024-07-26,2026-06-30,2700000
Adam Obert,Cagliari,LB CB,71,22,67,52,62,66,67,68,187,Left,2021-07-01,2029-06-01,4300000
Alessandro Deiola,Cagliari,CM CDM,70,29,53,68,63,64,78,76,188,Right,2015-09-07,2029-06-01,1800000
Gennaro Borrelli,Cagliari,ST,69+1,25,59,66,43,59,74,85,194,Right,2025-07-10,2029-06-01,2100000
Juan Rodríguez,Cagliari,CB,69+2,20,57,41,45,52,74,79,190,Left,2025-09-01,2030-06-01,3400000
Agustín Albarracín,Cagliari,LW RW CAM LM,69,19,72,66,70,65,47,41,175,Left,2026-01-27,2030-06-01,3600000
Leonardo Pavoletti,Cagliari,ST,68,36,41,69,49,61,67,77,188,Right,2017-08-30,2026-06-01,475000
Riyad Idrissi,Cagliari,LB LM,68,20,81,57,56,65,69,65,182,Left,2023-08-08,2030-06-01,2700000
Alen Sherri,Cagliari,GK,67,27,44,18,27,41,51,69,197,Right,2024-07-24,2027-06-01,1100000
Joseph Liteta,Cagliari,CM CDM,64,19,68,50,56,67,70,66,175,Right,2025-07-01,2030-06-01,1500000
Yael Trepy,Cagliari,ST,62,19,77,60,54,61,59,60,191,Left,2026-01-08,2026-06-01,1100000
Othniël Raterink,Cagliari,RB RM,62,19,73,42,48,58,63,60,189,Right,2026-01-30,2030-06-01,1100000
Giuseppe Ciocci,Cagliari,GK,59,23,25,14,20,29,43,65,190,Right,2020-02-04,2027-06-01,500000
Vincenzo Sarno,Cagliari,GK,52,17,30,14,19,27,39,52,189,Right,2025-07-01,2026-06-01,190000
