player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Nico Paz,Como,CAM CM,80,20,78,66,73,75,63,66,186,Left,2024-08-26,2028-06-01,54500000
Morata,Como,ST CAM,80,32,79,80,71,77,80,79,190,Right,2024-07-19,2026-06-30,20000000
Martin Baturina,Como,CAM CM,79+1,22,78,72,78,81,67,69+2,172,Right,2025-07-01,2030-06-01,32000000
Emil Audero,Como,GK,79+1,28,52,23,21,45,43,55,192,Right,2024-07-30,2026-06-30,14500000
Diego Carlos,Como,CB,79,32,62,48,61,66,75,87,186,Right,2025-01-23,2026-06-30,13500000
Maxence Caqueret,Como,CM CDM,78+1,25,75,68,75,80,73,62+7,174,Right,2025-01-12,2029-06-01,20500000
Nicolas Kühn,Como,RW RM,77-1,25,91,70,70,81,72,67,174,Left,2025-07-11,2029-06-01,15000000
Jean Butez,Como,GK,77+1,30,48,29,38,45,49,64+2,188,Right,2025-01-07,2028-06-01,8500000
Assane Diao,Como,LM RM LW,76,19,90,71,64,74,63,53,185,Right,2025-01-07,2029-06-01,19000000
Mërgim Vojvoda,Como,RB RM CB,76,30,68,55,70,71,70,66,186,Right,2025-02-03,2028-06-01,7500000
Sergi Roberto,Como,CDM CM,76,33,69,62,76,74,67,60,178,Right,2024-08-23,2026-06-01,4400000
Jesús Rodríguez,Como,LM RM LW,76+1,19,81,67,69,74,62,60+4,185,Right,2025-07-02,2029-06-01,19000000
Máximo Perrone,Como,CDM CM,75,22,72,55,63,74,68,59,177,Left,2025-07-18,2029-06-01,14000000
Tasos Douvikas,Como,ST,75+2,25,80,74,62,73,74,76+6,186,Right,2025-02-05,2029-06-01,9000000
Lucas Da Cunha,Como,CDM CM CAM,75,24,78,72,74,78,67,57,174,Left,2023-01-16,2029-06-01,8500000
Marc-Oliver Kempf,Como,CB,75+1,30,72,44,54,66,79,80,186,Left,2024-08-28,2027-06-01,5500000
Alberto Moreno,Como,LB CM,75,32,75,67,69,75,69,54,171,Left,2024-07-19,2026-06-01,4600000
Álex Valle,Como,LB LM,74,21,82,60,65,74,72,64+7,178,Left,2025-07-01,2029-06-01,10500000
Ivan Smolčić,Como,RB CM,74+2,24,69,56,61,70,77,79,181,Right,2025-02-03,2029-06-01,6500000
Noel Törnqvist,Como,GK,73,23,46,20,30,33,49,62,195,Left,2025-08-31,2029-06-01,7000000
Alberto Dossena,Como,CB,73,26,50,46,47,61,73,75,195,Right,2024-07-01,2026-06-30,4200000
Edoardo Goldaniga,Como,CB,72,31,53,34,45,60,76,77,193,Right,2024-01-28,2026-06-01,1900000
Luca Mazzitelli,Como,CM CDM,72,29,43,68,74,68,65,68,184,Right,2024-07-26,2026-06-30,2700000
Alieu Fadera,Como,LM LW,71,23,82,61,62,74,70,67,182,Right,2024-08-14,2026-06-30,3500000
Ignace Van der Brempt,Como,RB,71,23,74,55,60,66,72,70,187,Right,2025-07-01,2028-06-01,4200000
Jayden Addai,Como,RM RW,70+2,19,84,62,61,71,60,60+4,175,Left,2025-07-04,2028-06-01,4500000
Jacobo Ramón,Como,CB,69,20,57,31,41,57,66,66,196,Right,2025-07-31,2030-06-01,3700000
Nikola Čavlina,Como,GK,67,23,42,16,23,36,46,63,192,Right,2025-01-01,2026-06-30,1500000
Mauro Vigorito,Como,GK,64,35,39,20,22,39,43,55,187,Right,2023-07-01,2026-06-01,80000
Adrian Lahdo,Como,CM CDM,60,17,64,52,55,60,53,52,179,Right,2026-02-02,2027-06-01,725000
Henrique Menke,Como,GK,58+2,18,22,14,17,31,38,56,192,Right,2025-01-01,2026-06-01,550000
