player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Emil Audero,Cremonese,GK,79+1,28,52,23,21,45,43,55,192,Right,2024-07-30,2026-06-30,14500000
Federico Baschirotto,Cremonese,CB,75,28,69,52,58,62,85,90,187,Right,2025-07-30,2028-06-01,6500000
Sebastiano Luperto,Cremonese,CB,75,28,63,48,54,66,76,74,190,Left,2026-02-02,2028-06-01,6500000
Antonio Sanabria,Cremonese,ST,75,29,75,73,67,77,60,62,180,Right,2025-08-21,2028-06-01,6500000
Jamie Vardy,Cremonese,ST,75-1,38,72,77,67,73,71,63,179,Right,2025-09-01,2026-06-01,2300000
Martín Payero,Cremonese,CM CAM,73,26,70,66,71,73,71,72,182,Right,2023-09-01,2026-06-30,3900000
Alessio Zerbin,Cremonese,RM LM LB RB,73,26,75,65,67,70,65,66,182,Right,2018-07-01,2026-06-30,3900000
Michele Collocolo,Cremonese,CM CDM CAM,72,25,70,62,66,69,78,74,188,Right,2023-07-22,2027-06-01,3600000
Faris Pemi Moumbagna,Cremonese,ST,72,25,85,69,54,69,74,84,185,Left,2024-01-20,2026-06-30,3900000
David Okereke,Cremonese,ST LM LW,72,27,83,71,56,73,65,67,181,Right,2022-07-29,2026-06-01,3000000
Federico Bonazzoli,Cremonese,ST CAM,72,28,66,74,61,68,62,69,185,Left,2024-08-06,2028-06-01,2800000
Morten Thorsby,Cremonese,CM CAM CDM,72,29,57,61,65,70,78,70,189,Right,2026-02-02,2026-06-01,2700000
Jari Vandeputte,Cremonese,CM LM CAM,72-1,29,80,63,71,74,65,60,177,Right,2024-07-04,2026-06-01,2700000
Marco Silvestri,Cremonese,GK,72,34,60,22,21,42,48,60,191,Right,2025-08-13,2026-06-01,475000
Tommaso Barbieri,Cremonese,RB RM,71+1,22,82,48,60,66,69,59,181,Right,2024-08-06,2028-06-01,3200000
Filippo Terracciano,Cremonese,CB LB RB CM,71,22,80,60,69,69,68,60,186,Right,2024-01-08,2026-06-30,4600000
Warren Bondo,Cremonese,CM CDM,71-1,21,74,64,66,74,65,53,177,Right,2025-02-03,2026-06-30,4500000
Youssef Maleh,Cremonese,CM CDM,71,26,60,66,72,72,65,56,177,Left,2023-07-01,2026-06-30,2600000
Giuseppe Pezzella,Cremonese,LM LB,71,27,68,58,65,67,73,67,187,Left,2025-07-25,2028-06-01,2400000
Federico Ceccherini,Cremonese,CB,71,33,63,45,50,64,71,72,187,Right,2024-08-31,2026-06-01,1100000
Matteo Bianchetti,Cremonese,CB,71,32,51,34,50,61,72,75,189,Right,2019-08-17,2026-06-01,1400000
Milan Đurić,Cremonese,ST,71,35,33,71,51,58,80,92,198,Right,2026-01-27,2026-06-01,950000
Alberto Grassi,Cremonese,CM CDM,70,30,50,63,67,68,66,56,183,Right,2025-07-19,2027-06-01,1800000
Romano Floriani Mussolini,Cremonese,RM RB,69,22,73,55,60,62,71,74,188,Right,2024-07-01,2026-06-30,3700000
Mikayil Faye,Cremonese,CB,68,20,75,50,58,58,75,79,183,Left,2024-08-25,2026-06-30,3200000
Francesco Folino,Cremonese,CB,64,23,61,38,43,47,71,81,192,Right,2025-01-23,2028-06-01,1400000
Lapo Nava,Cremonese,GK,60,21,19,16,20,32,34,51,197,Right,2025-07-17,2028-06-01,625000
