player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
De Gea,Fiorentina,GK,85,34,46,22,30,47,35,38,192,Right,2024-08-09,2028-06-01,11000000
Moise Kean,Fiorentina,ST,83,25,86,78,57,80,77,72,183,Right,2024-07-09,2029-06-01,57500000
Robin Gosens,Fiorentina,LB LM,79,30,73,71,70,74,81,71,183,Left,2025-07-01,2028-06-01,18000000
Albert Guðmundsson,Fiorentina,ST CAM LW,78,28,87,76,69,80,70,71,177,Right,2025-07-01,2029-06-01,17000000
Dodô,Fiorentina,RB RM,78,26,86,59,70,80,72,59,166,Right,2022-07-22,2027-06-01,18000000
Manor Solomon,Fiorentina,LM RW LW,77,25,84,69,73,79,47,40,170,Right,2023-07-11,2026-06-30,14000000
Nicolò Fagioli,Fiorentina,CM CDM,76,24,74,67,76,76,65,59,178,Right,2025-07-01,2028-06-01,13500000
Rolando Mandragora,Fiorentina,CM CDM,76,28,46,69,72,72,70,68,183,Left,2022-07-04,2026-06-01,9000000
Pietro Comuzzo,Fiorentina,CB,75,20,61,28,42,64,72,66,185,Right,2023-07-01,2028-06-01,13500000
Fabiano Parisi,Fiorentina,LB RB RM LM,75,24,76,67,70,75,69,65,178,Left,2023-07-14,2028-06-01,9500000
Roberto Piccoli,Fiorentina,ST,75,24,73,74,50,65,79,82,189,Right,2025-08-25,2030-06-01,10000000
Luca Ranieri,Fiorentina,CB,75,26,68,44,56,69,70,59,187,Left,2017-07-01,2028-06-01,7500000
Daniele Rugani,Fiorentina,CB,75,30,34,39,49,60,69,80,190,Right,2015-02-01,2026-06-30,5500000
Riccardo Sottil,Fiorentina,LM LW,74-1,26,89,66,63,74,52,45,180,Right,2018-07-01,2026-06-30,6000000
Simon Sohm,Fiorentina,CM CDM CAM,74,24,76,67,65,70,81,80,188,Right,2025-08-04,2026-06-30,7500000
M'Bala Nzola,Fiorentina,ST,74,28,83,71,59,69,78,88,185,Left,2023-08-10,2026-06-30,5000000
Giovanni Fabbian,Fiorentina,CM CAM CDM,73,22,68,70,70,72,63,55,189,Right,2023-08-20,2026-06-30,8000000
Nicolás Valentini,Fiorentina,CB,73,24,72,32,53,64,77,72,187,Left,2025-01-02,2026-06-30,5000000
Tariq Lamptey,Fiorentina,RB LB RM,73,24,85,43,60,79,55,34,163,Right,2025-09-01,2028-06-01,4500000
Marin Pongračić,Fiorentina,CB,73,27,61,28,45,63,75,82,190,Right,2024-07-19,2027-06-01,3800000
Christian Kouamé,Fiorentina,ST LM LW CAM,73-1,27,77,70,62,73,69,63,185,Right,2020-09-01,2027-06-01,3900000
Jack Harrison,Fiorentina,LW RW LM,73,28,76,68,69,76,67,62,175,Left,2021-07-02,2026-06-30,3600000
Cher Ndour,Fiorentina,CM CAM CDM,72,20,62,64,68,68,69,78,190,Right,2025-02-03,2029-06-01,6000000
Jacopo Fazzini,Fiorentina,CAM CM,72,22,68,65,67,73,63,52,178,Right,2025-07-01,2030-06-01,6000000
Marco Brescianini,Fiorentina,CM CAM,72+1,25,63,66,66,68,72,73,188,Left,2025-07-01,2026-06-30,3600000
Abdelhamid Sabiri,Fiorentina,CAM CM ST,72-1,28,60,66,71,72,74,76,186,Right,2023-01-30,2026-06-01,2800000
Oliver Christensen,Fiorentina,GK,71,26,44,14,32,35,50,64,190,Right,2023-08-10,2028-06-01,2200000
Luca Lezzerini,Fiorentina,GK,69,30,48,23,22,42,46,66,195,Right,2025-08-01,2026-06-01,1100000
Niccolò Fortini,Fiorentina,LM LB,67,19,72,53,60,63,64,60,185,Right,2024-07-01,2027-06-01,2900000
Eddy Kouadio,Fiorentina,CB,62,19,67,33,37,51,66,69,191,Right,2025-07-01,2027-06-01,1000000
Eman Košpo,Fiorentina,CB,61,18,67,33,37,50,64,68,191,Right,2025-07-01,2030-06-01,850000
Riccardo Braschi,Fiorentina,ST,56,18,64,53,40,53,55,69,188,Right,2025-07-01,2028-06-01,400000
