player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Morten Frendrup,Genoa,CDM CM,76,24,79,57,60,75,77,62,178,Right,2022-01-30,2028-06-01,11500000
Johan Vásquez,Genoa,CB,75,26,61,35,52,64,77,67,185,Left,2022-01-03,2028-06-01,7500000
Leo Østigård,Genoa,CB,75,25,61,38,46,64,81,83+1,182,Right,2026-01-31,2030-06-01,9000000
Justin Bijlow,Genoa,GK,75,27,42,19,28,40,44,65,188,Right,2026-01-20,2026-06-01,5500000
Ruslan Malinovskyi,Genoa,CM CAM CDM,75,32,65,79,80,74,74,74,181,Left,2024-01-31,2027-06-01,5000000
Tommaso Baldanzi,Genoa,CAM CM,74,22,76,70,71,77,52,36,170,Left,2024-02-01,2026-06-30,8000000
Vitinha,Genoa,ST,74,25,75,73,61,76,78,70,178,Right,2024-07-01,2028-06-01,7000000
Aarón Martín,Genoa,LB LM,74,28,60,57,77,75,67,57,178,Left,2023-07-03,2026-06-01,4500000
Maxwel Cornet,Genoa,LM ST LW,74,28,85,73,69,73,68,64,179,Right,2022-08-05,2026-06-30,5000000
Nicola Leali,Genoa,GK,73+1,32,33,20,24,39,45,65,188,Right,2023-07-05,2026-06-01,1800000
Brooke Norton-Cuffy,Genoa,RB RM,72,21,82,46,60,72,73,68,181,Right,2024-08-15,2029-06-01,6000000
Lorenzo Colombo,Genoa,ST,72,23,66,72,51,68,71,69,183,Left,2020-09-01,2026-06-30,5500000
Junior Messias,Genoa,CM CAM,72,34,76,71,72,73,59,52,179,Left,2025-07-18,2026-06-01,1300000
Jean Onana,Genoa,CM CDM,71,25,54,65,65,66,75,83,189,Right,2023-07-21,2026-06-30,2900000
Stefano Sabelli,Genoa,RB RM,71,32,70,43,58,68,66,55,176,Right,2021-07-20,2026-06-01,1500000
Mikael Egill Ellertsson,Genoa,CM LB LM CAM,70+1,23,70,67,65,70,70,63+4,182,Left,2025-01-30,2029-06-01,3000000
Caleb Ekuban,Genoa,ST,70,31,80,68,63,67,73,76,182,Right,2021-08-07,2026-06-01,1600000
Benjamin Siegrist,Genoa,GK,70,33,34,21,21,34,50,69,196,Right,2024-07-24,2026-06-30,600000
Patrizio Masini,Genoa,CDM CM,68,24,68,56,58,67,62,51,182,Right,2022-07-01,2028-06-01,1900000
Alessandro Marcandalli,Genoa,CB,68+2,22,64,38,44,50,72,79+3,190,Right,2023-07-01,2029-06-01,2700000
Alex Amorim,Genoa,CM CDM,67,20,67,60,59,72,64,57,172,Right,2026-01-29,2028-06-01,2600000
Sebastian Otoa,Genoa,CB,66,21,63,33,43,54,69,74,198,Right,2025-01-16,2028-06-01,2100000
Jeff Ekhator,Genoa,ST,65,18,68,62,44,64,56,56,188,Right,2024-07-01,2029-06-01,2000000
Nils Zätterström,Genoa,CB,64,20,73,36,43,55,76,83,192,Left,2025-08-22,2026-06-30,1600000
Daniele Sommariva,Genoa,GK,62,27,42,23,23,35,43,57,185,Right,2023-07-05,2026-06-01,450000
Lorenzo Venturino,Genoa,RM LM RW,59,19,66,51,47,61,48,48,183,Right,2025-01-17,2026-06-30,625000
Joi Nuredini,Genoa,ST,58,17,57,56,41,57,60,64,191,Right,2026-01-18,2028-06-01,600000
Ernestas Lysionok,Genoa,GK,56,18,21,14,17,27,33,51,185,Right,2025-07-01,2028-06-01,375000
