player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Ali Al Musrati,Hellas Verona,CDM CM,76,29,52,65,63,64,78,86,189,Right,2024-02-09,2026-06-30,7500000
Suat Serdar,Hellas Verona,CM CDM,76,28,67,69,70,77,74,68,184,Right,2024-07-01,2028-06-01,9000000
Lorenzo Montipò,Hellas Verona,GK,76,29,43,25,22,41,45,55,191,Right,2022-07-01,2028-06-01,7000000
Gift Orban,Hellas Verona,ST CAM,74,22,76,77,65,75,62,67,178,Right,2025-01-02,2026-06-30,10000000
Victor Nelsson,Hellas Verona,CB,74,26,61,46,55,67,77,79,185,Right,2021-08-11,2026-06-30,5500000
Nicolás Valentini,Hellas Verona,CB,73,24,72,32,53,64,77,72,187,Left,2025-01-02,2026-06-30,5000000
Pol Lirola,Hellas Verona,RB CB CM,73,27,72,61,67,68,68,61,183,Right,2026-01-18,2026-06-01,3500000
Sandi Lovrič,Hellas Verona,CM CDM,73,27,62,62,72,71,65,61,180,Right,2022-07-01,2026-06-30,3800000
Tomáš Suslov,Hellas Verona,CAM CM,72,23,79,71,71,75,71,63,174,Left,2024-07-01,2027-06-01,6000000
Armel Bella-Kotchap,Hellas Verona,CB,72,23,71,28,42,57,72,87,190,Right,2026-02-02,2030-06-01,4000000
Abdou Harroui,Hellas Verona,CM CDM CAM,72,27,69,69,67,72,70,66,182,Right,2024-07-09,2028-06-01,2900000
Antoine Bernede,Hellas Verona,CM CDM,72,26,71,66,68,73,71,64,178,Right,2025-07-01,2028-06-01,3600000
Roberto Gagliardini,Hellas Verona,CDM CM,72,31,39,63,66,67,64,65,190,Right,2025-09-12,2026-06-01,1900000
Jean-Daniel Akpa Akpro,Hellas Verona,CM CDM,72,32,70,68,67,74,74,64,180,Right,2025-09-06,2026-06-01,2200000
Daniel Mosquera,Hellas Verona,ST,71,25,69,69,55,67,74,82,183,Right,2024-07-04,2028-06-01,3000000
Amin Sarr,Hellas Verona,ST,71,24,85,69,59,68,67,71,188,Right,2025-07-01,2029-06-01,3400000
Domagoj Bradarić,Hellas Verona,LB LM,71,25,74,57,63,71,67,55,178,Left,2025-08-01,2028-06-01,2700000
Cheikh Niasse,Hellas Verona,CDM CM,71,25,61,46,57,65,71,72,188,Right,2025-07-01,2026-06-01,3000000
Martin Frese,Hellas Verona,LB CB LM,70,27,77,63,64,70,66,65,179,Left,2024-07-10,2027-06-01,1800000
Tobias Slotsager,Hellas Verona,CB,69,19,69,30,43,61,68,67,190,Right,2025-02-03,2029-06-01,3700000
Rafik Belghali,Hellas Verona,RB RM,68,23,81,61,62,67,64,62,186,Right,2025-08-19,2029-06-01,2000000
Kieron Bowie,Hellas Verona,ST CAM,67+2,22,73,65,56,62,79,84,190,Left,2026-01-30,2030-06-01,2700000
Simone Perilli,Hellas Verona,GK,67,30,46,22,23,42,45,65,195,Right,2022-08-03,2027-06-01,800000
Andrias Edmundsson,Hellas Verona,CB,67+1,24,60,35,42,56,70,76+2,193,Left,2026-02-02,2029-06-01,1600000
Isaac,Hellas Verona,ST,67,21,67,67,51,64,68,73,185,Right,2026-01-07,2029-06-01,2700000
Fallou Cham,Hellas Verona,RB,66,19,75,46,54,62,70,75,186,Right,2025-07-01,2029-06-01,2100000
Daniel Oyegoke,Hellas Verona,CB RB RM,62,22,76,43,47,60,61,63,188,Right,2025-01-28,2028-06-01,975000
Giacomo Toniolo,Hellas Verona,GK,56,21,46,13,25,34,39,62,192,Right,2025-06-30,2026-06-01,325000
Junior Ajayi,Hellas Verona,ST,56,20,66,54,44,57,48,57,185,Right,2024-07-01,2027-06-01,400000
