player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Bremer,Juventus,CB,86+1,28,82,50,55,70,82,84,187,Right,2022-07-20,2029-06-01,69000000
Manuel Locatelli,Juventus,CDM CM,84,27,63,72,77,75,78,71,185,Right,2023-07-01,2028-06-01,51000000
Loïs Openda,Juventus,ST,82,25,95,80,65,82,83,80,175,Right,2023-07-14,2026-06-30,45500000
Khéphren Thuram,Juventus,CM CDM,81,24,78,72,74,78,83,79,192,Right,2024-07-09,2029-06-01,43500000
Dušan Vlahović,Juventus,ST,81,25,78,83,72,73,83,86,190,Left,2022-01-28,2026-06-01,41000000
Jonathan David,Juventus,ST,81,25,81,82,67,79,79,77,178,Right,2025-07-04,2030-06-01,41000000
Michele Di Gregorio,Juventus,GK,81,27,56,21,35,50,50,68,187,Right,2025-07-01,2029-06-01,30000000
Kenan Yıldız,Juventus,CAM LM LW CM,80,20,85,77,74,80,67,67,185,Right,2023-03-13,2029-06-01,54500000
Federico Gatti,Juventus,CB,80,27,76,46,49,67,82,81,190,Right,2022-01-31,2030-06-01,28000000
Andrea Cambiaso,Juventus,LB RB LM,80,25,79,69,75,78,73,68,182,Left,2022-07-14,2027-06-01,28500000
Pierre Kalulu,Juventus,CB RB RM CDM,80,25,80,55,63,73,78,73,182,Right,2025-07-01,2029-06-01,33000000
Teun Koopmeiners,Juventus,CAM CM CB,80,27,71,80,81,76,76,71,183,Left,2024-08-28,2029-06-01,26500000
Filip Kostić,Juventus,LM LB LW,80,32,81,76,80,79,77,77,184,Left,2022-08-12,2026-06-01,20000000
Francisco Conceição,Juventus,CAM RM RW CM,79,22,88,71,72,84,54,40,168,Left,2025-07-24,2030-06-01,42000000
Edon Zhegrova,Juventus,RM RW,79,26,85,68,76,83,62,63,180,Left,2025-09-01,2030-06-01,24500000
Weston McKennie,Juventus,CM CAM RM,78,26,77,72,75,75,83,77,183,Right,2021-07-01,2026-06-01,19500000
Arkadiusz Milik,Juventus,ST,78,31,50,81,73,75,67,76,186,Left,2023-07-01,2027-06-01,14000000
Mattia Perin,Juventus,GK,78,32,57,22,25,44,43,52,188,Right,2018-07-01,2027-06-01,8000000
João Mário,Juventus,RB RM,77,25,84,65,66,76,71,60,179,Right,2025-07-24,2026-06-30,15000000
Lloyd Kelly,Juventus,CB LB,77+1,26,69,48,63,67,80,80,190,Left,2025-07-01,2029-06-01,14500000
Fabio Miretti,Juventus,CM CAM LM,75+1,21,74,66,74,77,72,68+7,180,Right,2021-09-11,2028-06-01,10000000
Jérémie Boga,Juventus,LW ST LM,75,28,84,67,72,79,66,64,172,Right,2023-07-25,2026-06-30,6500000
Daniele Rugani,Juventus,CB,75,30,34,39,49,60,69,80,190,Right,2015-02-01,2026-06-30,5500000
Juan David Cabal,Juventus,LB CB,74,24,72,39,64,64,70,74,186,Left,2024-07-18,2029-06-01,7000000
Emil Holm,Juventus,RB RM,74,25,83,62,62,66,80,82,192,Right,2024-07-01,2026-06-30,6500000
Carlo Pinsoglio,Juventus,GK,69,35,42,18,22,40,47,60,194,Left,2014-07-01,2026-06-01,180000
Pedro Felipe,Juventus,CB,69,21,75,48,51,65,75,78,190,Right,2025-07-01,2026-06-30,3500000
Vasilije Adžić,Juventus,CAM CM,67,19,67,60,57,66,53,55,185,Right,2024-10-20,2027-06-01,2900000
Leonardo Cerri,Juventus,ST,67,22,38,67,47,54,69,82,198,Right,2025-07-01,2027-06-01,2700000
Simone Scaglia,Juventus,GK,63,20,43,17,25,37,44,68,196,Right,2025-07-01,2026-06-01,1100000
