player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Mattia Zaccagni,Latium,LM LW,84,30,89,77,75,86,70,59,177,Right,2021-09-01,2029-06-01,48000000
Ivan Provedel,Latium,GK,83+1,31,42,25,38,44,44,56,192,Right,2022-08-08,2027-06-01,22500000
Alessio Romagnoli,Latium,CB,82,30,65,39,47,69,81,80,185,Left,2022-07-13,2027-06-01,29500000
Mario Gila,Latium,CB,81+1,24,85,51,64,76,82,75+4,185,Right,2022-07-12,2027-06-01,37000000
Nicolò Rovella,Latium,CDM CM,79,23,76,66,76,78,74,62,179,Right,2025-07-01,2028-06-01,28500000
Boulaye Dia,Latium,ST CAM,79-1,28,84,79,62,77,75,74,180,Right,2023-07-01,2027-06-01,21000000
Adam Marušić,Latium,RB LB RM,78,32,80,68,65,73,79,77,185,Right,2017-07-01,2026-06-01,11500000
Danilo Cataldi,Latium,CM CDM,78+1,30,70,69,78,77,71,62,180,Right,2011-07-01,2027-06-01,16000000
Kenneth Taylor,Latium,CM CDM CAM,77,23,74,74,76,78,74,70,182,Left,2026-01-09,2027-06-01,19500000
Manuel Lazzari,Latium,RB RM,77-1,31,90,61,72,81,64,52,174,Right,2019-07-12,2027-06-01,9000000
Nuno Tavares,Latium,LB LM,76-1,25,85,65,72,75,78,77,183,Left,2025-07-01,2029-06-01,11000000
Gustav Isaksen,Latium,RM RW,76,24,88,68,65,77,55,33,178,Left,2023-08-07,2028-06-01,12000000
Samuel Gigot,Latium,CB,76-1,31,62,40,54,63,77,80,187,Right,2025-07-01,2027-06-01,6000000
Pedro,Latium,RM LM RW,76-1,37,64,73,72,84,50,41,169,Right,2021-08-19,2026-06-01,2900000
Patric,Latium,CB,75,32,63,50,62,71,72,64,184,Right,2015-07-01,2027-06-01,4300000
Tijjani Noslin,Latium,ST RM LM RW,74,25,78,72,65,75,69,69,178,Right,2024-07-01,2029-06-01,6500000
Matteo Cancellieri,Latium,RM LM LW RW,74+2,22,83,71,70,76,68,68+4,180,Left,2023-07-01,2027-06-01,7500000
Daniel Maldini,Latium,CAM CM,74,23,70,72,75,72,63,67,188,Right,2025-02-02,2026-06-30,10000000
Toma Bašić,Latium,CM CDM,74+2,28,51,66,76,69,75,79+5,190,Right,2021-08-26,2026-06-01,5000000
Luca Pellegrini,Latium,LB LM,74,26,72,58,61,73,63,46,178,Left,2025-07-01,2027-06-01,5500000
Fisayo Dele-Bashiru,Latium,CAM CM,73,24,84,69,61,74,76,81,186,Right,2025-07-01,2028-06-01,5000000
Elseid Hysaj,Latium,LB RB LM,72,31,71,50,59,71,68,62,182,Right,2021-07-17,2026-06-01,2000000
Romano Floriani Mussolini,Latium,RM RB,69,22,73,55,60,62,71,74,188,Right,2024-07-01,2026-06-30,3700000
Petar Ratkov,Latium,ST,68,21,67,64,48,61,71,74,193,Right,2026-01-08,2028-06-01,3200000
Reda Belahyane,Latium,CM CDM,67,21,66,51,61,75,56,38,169,Right,2025-02-03,2029-06-01,2700000
Oliver Provstgaard,Latium,CB,67,22,66,42,48,59,75,80,192,Left,2025-02-03,2029-06-01,2500000
Adrian Przyborek,Latium,CAM RM RW CM,66,18,76,56,61,67,60,62,184,Right,2026-01-31,2030-06-01,2300000
Edoardo Motta,Latium,GK,65,20,20,15,22,27,42,70,194,Right,2026-01-27,2026-06-01,1400000
Cristo Muñoz,Latium,CAM CM,65,20,68,63,63,70,52,50,175,Right,2024-07-01,2027-06-01,1800000
Saná Fernandes,Latium,ST CAM,62,19,85,57,49,70,50,36,165,Right,2023-07-01,2028-06-01,1100000
Alessio Furlanetto,Latium,GK,61,23,40,15,23,29,41,57,191,Right,2022-07-01,2028-06-01,475000
