player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Wladimiro Falcone,Lecce,GK,82,30,27,24,24,37,41,62,196,Right,2023-07-27,2028-06-01,24000000
Antonino Gallo,Lecce,LB LM,75,25,78,54,68,69,69,62,183,Left,2019-07-26,2026-06-01,8000000
Riccardo Sottil,Lecce,LM LW,74,26,89,66,63,74,52,45,180,Right,2018-07-01,2026-06-30,6000000
Lassana Coulibaly,Lecce,CDM CM,74,29,69,58,65,72,74,69,183,Right,2024-08-14,2027-06-01,4200000
Omri Gandelman,Lecce,CAM CM RM,72,25,64,70,61,68,79,79,188,Left,2026-01-09,2029-06-01,3800000
Kialonda Gaspar,Lecce,CB,72,27,65,33,37,52,80,86,193,Right,2024-07-01,2027-06-01,2900000
Walid Cheddira,Lecce,ST,72,27,79,71,60,65,74,83,187,Right,2023-08-20,2026-06-30,3000000
Àlex Sala,Lecce,CDM CM,72,24,65,64,64,68,75,77,185,Right,2025-08-23,2028-06-01,3600000
Youssef Maleh,Lecce,CM CDM,71,26,60,66,72,72,65,56,177,Left,2023-07-01,2026-06-30,2600000
Nikola Štulić,Lecce,ST,70,23,55,72,55,63,72,79,188,Right,2025-08-27,2029-06-01,3000000
Lameck Banda,Lecce,LM RM RW LW,70,24,88,67,58,75,48,35,162,Right,2022-08-04,2026-06-01,2600000
Jamil Siebert,Lecce,CB,70,23,71,35,43,55,77,88,193,Right,2025-08-22,2027-06-01,3900000
Santiago Pierotti,Lecce,RM RW,70,24,69,67,63,71,72,74,189,Right,2024-01-16,2027-06-01,3000000
Ylber Ramadani,Lecce,CDM CM,70,29,55,54,55,64,72,66,185,Right,2023-08-04,2026-06-01,1600000
Christian Früchtl,Lecce,GK,70,25,24,16,26,27,41,63,193,Left,2024-07-01,2027-06-01,2200000
Danilo Veiga,Lecce,RB RM,69,22,73,56,58,66,69,71,183,Right,2025-01-28,2027-06-01,3500000
Medon Berisha,Lecce,CM CAM CDM,69,21,53,58,68,63,61,57,186,Right,2022-08-18,2028-06-01,3700000
Tiago Gabriel,Lecce,CB,69,20,63,38,41,53,74,84,195,Right,2025-01-28,2027-06-01,3400000
Gaby Jean,Lecce,CB,68,25,55,35,41,52,73,72,191,Left,2024-08-26,2027-06-01,2600000
Þórir Jóhann Helgason,Lecce,CM CAM,68,24,67,60,66,66,59,58,187,Right,2021-07-15,2026-06-01,2100000
Konan N'Dri,Lecce,RM RW ST,68,24,87,63,59,71,62,54,174,Left,2025-02-02,2027-06-01,1900000
Filip Marchwiński,Lecce,CAM ST CM,67,23,65,62,62,66,61,59,187,Right,2024-07-26,2029-06-01,2400000
Matías Pérez,Lecce,CB,66,20,57,33,41,46,69,80,192,Right,2025-07-19,2028-06-01,2100000
Francesco Camarda,Lecce,ST,65,17,67,66,48,64,55,58,184,Right,2024-10-29,2026-06-30,2700000
Sadik Fofana,Lecce,CDM CB CM,65,22,69,46,53,58,73,79,192,Right,2026-01-10,2027-06-01,1600000
Corrie Ndaba,Lecce,LB CB CM,65,25,70,31,48,57,76,84,188,Left,2025-07-28,2028-06-01,1000000
Oumar Ngom,Lecce,CM CDM,64,21,60,46,55,66,68,72,184,Right,2026-01-13,2029-06-01,1500000
Olaf Gorter,Lecce,CDM CM,62,20,59,51,61,56,61,59,181,Right,2025-07-01,2028-06-01,975000
Jasper Samooja,Lecce,GK,61,21,26,15,21,31,29,32,189,Right,2023-10-01,2026-06-01,750000
