player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Lautaro Martínez,Lombardia FC,ST,88,27,82,87,74,87,86,80,174,Right,2018-07-04,2029-06-01,117000000
Nicolò Barella,Lombardia FC,CM CDM,88,28,82,79,82,88,81,68,175,Right,2020-09-01,2029-06-01,107500000
Alessandro Bastoni,Lombardia FC,CB,87,26,74,49,70,76,84,81,190,Left,2017-08-30,2028-06-01,102500000
Hakan Çalhanoğlu,Lombardia FC,CDM CM,86,31,71,82,87,83,76,65,178,Right,2024-07-01,2027-06-01,56000000
Yann Sommer,Lombardia FC,GK,86,36,51,23,32,50,55,68,183,Right,2023-08-07,2026-06-01,2100000
Marcus Thuram,Lombardia FC,ST,85,27,86,81,72,78,82,79,192,Right,2023-07-01,2028-06-01,69000000
Federico Dimarco,Lombardia FC,LB LM,85,27,82,80,85,82,80,72,175,Left,2018-07-05,2027-06-01,61500000
Denzel Dumfries,Lombardia FC,RB RM,84,29,83,66,70,75,86,81,188,Right,2021-08-14,2028-06-01,44000000
Francesco Acerbi,Lombardia FC,CB,84,37,55,49,62,64,80,84,192,Left,2023-07-01,2026-06-01,9000000
Manuel Akanji,Lombardia FC,CB,83,29,77,47,65,73,80,85,186,Right,2022-09-01,2026-06-30,36000000
Stefan de Vrij,Lombardia FC,CB,83,33,62,42,60,71,76,74,189,Right,2018-07-01,2026-06-01,20500000
Henrikh Mkhitaryan,Lombardia FC,CM CDM,83,36,77,78,80,83,78,67,177,Right,2022-07-01,2026-06-01,13500000
Carlos Augusto,Lombardia FC,LB CB LM,81,26,79,71,76,78,79,72,184,Left,2024-07-01,2028-06-01,32500000
Davide Frattesi,Lombardia FC,CM CDM,81,25,82,75,74,80,77,68,178,Right,2024-07-01,2028-06-01,38000000
Piotr Zieliński,Lombardia FC,CM CDM,81,31,77,76,78,82,63,56,180,Right,2024-07-01,2028-06-01,25000000
Yoan Bonny,Lombardia FC,ST CAM,78,21,87,74,71,75,77,81,189,Right,2025-07-05,2030-06-01,37500000
Luis Henrique,Lombardia FC,RM LM RB RW,78,23,90,71,67,75,77,81,181,Right,2025-06-07,2030-06-01,25000000
Matteo Darmian,Lombardia FC,RB CB RM,78-1,35,71,64,69,77,74,64,182,Right,2021-07-01,2026-06-01,5000000
Francesco Pio Esposito,Lombardia FC,ST,76,20,64,75,70,67,76,85,191,Right,2024-07-01,2027-06-01,19500000
Petar Sučić,Lombardia FC,CM CDM,76,21,70,67,74,79,75,68,183,Right,2025-06-04,2028-06-01,18000000
Yann Aurel Bisseck,Lombardia FC,CB,76,24,76,55,58,73,80,81,196,Right,2023-07-12,2029-06-01,11500000
Andy Diouf,Lombardia FC,CM CDM CAM,75,22,77,67,69,75,76,77,187,Left,2025-08-22,2030-06-01,10500000
Sebastiano Esposito,Lombardia FC,ST CAM,75,22,75,74,76,75,66,61,183,Right,2019-10-26,2026-06-30,13500000
Josep Martínez,Lombardia FC,GK,75,27,27,16,23,32,45,58,191,Right,2024-07-09,2029-06-01,6000000
Raffaele Di Gennaro,Lombardia FC,GK,68,31,43,21,22,43,42,51,186,Right,2023-07-13,2026-06-01,750000
Matteo Cocchi,Lombardia FC,LB LM,67,18,79,54,61,68,67,66,179,Left,2026-01-04,2028-06-01,2700000
Ebenezer Akinsanmiro,Lombardia FC,CM CAM,67,20,76,67,66,68,73,76,184,Right,2023-01-31,2026-06-30,2900000
Matteo Lavelli,Lombardia FC,ST,66,18,72,66,59,67,63,72,185,Right,2026-01-04,2029-06-01,2400000
Alain Taho,Lombardia FC,GK,65,18,30,14,20,31,38,56,193,Left,2025-07-01,2030-06-01,1700000
Franco Carboni,Lombardia FC,LB LM,63,22,62,43,54,57,65,65,190,Left,2024-07-01,2026-06-30,1200000
Leon Jakirović,Lombardia FC,CB LB,61,17,66,47,54,60,66,65,190,Left,2026-01-26,2030-06-01,1200000
