player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Mike Maignan,Milano FC,GK,87,29,64,24,44,58,60,83,191,Right,2021-07-01,2031-06-01,72000000
Christian Pulisic,Milano FC,RW RM ST,85,26,88,81,79,85,68,57,178,Right,2023-07-13,2027-06-01,69500000
Rafael Leão,Milano FC,LW LM ST,84,26,93,75,76,84,76,79,188,Right,2019-08-01,2028-06-01,58500000
Adrien Rabiot,Milano FC,CM CAM,84,30,81,79,77,79,86,82,191,Left,2025-09-01,2028-06-01,47500000
Luka Modrić,Milano FC,CM CAM CDM,84,39,69,77,85,87,65,58,172,Right,2025-07-14,2026-06-01,15500000
Youssouf Fofana,Milano FC,CDM CM,81,26,68,66,71,77,78,73,185,Right,2024-08-17,2028-06-01,36000000
Fikayo Tomori,Milano FC,CB,81,27,81,38,56,73,81,76,185,Right,2021-07-01,2027-06-01,32500000
Christopher Nkunku,Milano FC,CAM LM ST CM,81,27,77,79,79,81,61,63,177,Right,2025-08-30,2030-06-01,32500000
Alexis Saelemaekers,Milano FC,RM LM RB RW,80+1,26,80,65,74,82,69,54,180,Right,2020-09-01,2031-06-01,27000000
Matteo Gabbia,Milano FC,CB,80+1,25,48,37,52,66,77,70,185,Right,2017-07-01,2029-06-01,29500000
Ruben Loftus-Cheek,Milano FC,CM CAM,80,29,81,72,74,77,82,85,191,Right,2023-07-01,2027-06-01,24000000
Morata,Milano FC,ST CAM,80,32,79,80,71,77,80,79,190,Right,2024-07-19,2026-06-30,20000000
Samuele Ricci,Milano FC,CDM CM,79+1,23,78,61,71,80,74,65,181,Right,2025-07-03,2029-06-01,30000000
Santiago Giménez,Milano FC,ST,79,24,78,79,68,76,72,68,185,Left,2025-02-03,2029-06-01,31500000
Pervis Estupiñán,Milano FC,LB LM,79,27,77,59,77,76,74,68,175,Left,2025-07-24,2030-06-01,20000000
Pietro Terracciano,Milano FC,GK,78,35,41,21,22,44,44,60,193,Right,2025-07-18,2026-06-01,1800000
Niclas Füllkrug,Milano FC,ST,78,32,57,82,70,70,78,86,188,Right,2024-08-05,2026-06-30,13500000
Ardon Jashari,Milano FC,CDM CM,77,22,76,66,71,75,83,80,181,Left,2025-08-07,2030-06-01,26500000
Strahinja Pavlović,Milano FC,CB,77+1,24,74,40,51,65,86,83,194,Left,2024-07-31,2028-06-01,18000000
Koni De Winter,Milano FC,CB,74,23,67,45,53,64,74,70,191,Right,2025-08-13,2030-06-01,10500000
Yunus Musah,Milano FC,CM CDM RM CAM,74,22,88,66,67,77,78,71,178,Right,2023-08-04,2026-06-30,11000000
Tommaso Pobega,Milano FC,CM CDM,74,25,74,74,68,74,77,72,189,Right,2018-07-01,2026-06-30,6500000
Lorenzo Colombo,Milano FC,ST,72,23,66,72,51,68,71,69,183,Left,2020-09-01,2026-06-30,5500000
Davide Bartesaghi,Milano FC,LB LM,71+3,19,74,54,61,66,75,75+1,193,Left,2023-09-23,2030-06-01,4600000
Filippo Terracciano,Milano FC,CB LB RB CM,71,22,80,60,69,69,68,60,186,Right,2024-01-08,2026-06-30,4600000
Warren Bondo,Milano FC,CM CDM,71-1,21,74,64,66,74,65,53,177,Right,2025-02-03,2026-06-30,4500000
Zachary Athekame,Milano FC,RB RM,65,20,82,32,44,62,68,77,181,Right,2025-08-15,2030-06-01,1900000
Francesco Camarda,Milano FC,ST,65,17,67,66,48,64,55,58,184,Right,2024-10-29,2026-06-30,2700000
David Odogu,Milano FC,CB,65,19,67,32,40,50,66,74,191,Right,2025-09-01,2029-06-01,2100000
Cheveyo Balentien,Milano FC,RM RW,62,18,64,59,55,60,61,56,189,Right,2025-08-21,2030-06-01,1100000
Lorenzo Torriani,Milano FC,GK,62,20,19,15,31,33,33,48,197,Right,2024-07-01,2030-06-01,1000000
Jacopo Sardo,Milano FC,CM CDM,58,20,56,44,50,58,60,67,186,Right,2026-01-10,2029-06-01,575000
Matteo Pittarella,Milano FC,GK,52,17,31,12,17,30,35,51,185,Right,2025-07-01,2028-06-01,190000
