player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Kevin De Bruyne,Napoli,CM CAM,87,34,66,83,91,81,71,74,181,Right,2025-07-01,2027-06-01,43500000
Scott McTominay,Napoli,CM CAM LM CDM,85,28,75,79,73,76,86,82,193,Right,2024-08-30,2029-06-01,63500000
Romelu Lukaku,Napoli,ST,84,32,79,82,72,72,82,94,191,Left,2024-08-29,2027-06-01,40500000
Amir Rrahmani,Napoli,CB,83,31,68,49,55,63,78,80,192,Right,2020-01-20,2027-06-01,29500000
André-Franck Zambo Anguissa,Napoli,CM CAM,83,29,75,73,71,80,86,82,184,Right,2022-07-01,2027-06-01,41500000
Giovanni Di Lorenzo,Napoli,RB CB RM,83,31,84,69,71,76,82,74,183,Right,2019-07-01,2028-06-01,31000000
Stanislav Lobotka,Napoli,CM CDM,83,30,72,65,76,81,73,61,170,Right,2020-01-15,2027-06-01,41000000
Alessandro Buongiorno,Napoli,CB,82,26,69,47,61,68,81,78,190,Left,2024-07-13,2029-06-01,44000000
Alex Meret,Napoli,GK,82,28,45,25,25,47,46,65,192,Left,2019-07-01,2027-06-01,30500000
Miguel Gutiérrez,Napoli,LB LM,81,23,81,70,75,79,76,66,180,Left,2025-08-21,2030-06-01,40500000
David Neres,Napoli,LW LM,81,28,86,75,72,85,62,59,175,Left,2024-08-21,2028-06-01,30500000
Matteo Politano,Napoli,RW RM,81,31,80,77,79,85,59,39,171,Left,2021-07-01,2027-06-01,25000000
Leonardo Spinazzola,Napoli,LB LM,80+1,32,85,68,72,77,71,66,186,Right,2024-07-10,2026-06-01,17000000
Vanja Milinković-Savić,Napoli,GK,79,28,43,26,36,41,52,73,202,Right,2017-07-01,2026-06-30,17500000
Sam Beukema,Napoli,CB,77,26,48,53,57,65,77,74,188,Right,2025-07-20,2030-06-01,14500000
Rasmus Højlund,Napoli,ST,77,22,85,75,55,70,81,82,191,Left,2023-08-05,2026-06-30,20000000
Eljif Elmas,Napoli,LM CAM LW,77,25,73,69,69,77,70,64,184,Right,2024-01-01,2026-06-30,14000000
Mathías Olivera,Napoli,LB CM,77,27,70,50,65,68,74,67,184,Left,2022-07-01,2027-06-01,12000000
Giovanni Simeone,Napoli,ST,76,29,71,76,63,73,75,71,181,Right,2023-07-01,2026-06-30,9000000
Michael Folorunsho,Napoli,CM CAM CDM,75,27,73,76,69,71,79,79,190,Right,2019-07-15,2026-06-30,7000000
Juan Jesus,Napoli,CB,75,34,58,34,49,64,74,72,185,Left,2021-08-18,2026-06-01,2200000
Billy Gilmour,Napoli,CM CDM,74,24,61,60,70,77,61,49,170,Right,2024-08-30,2029-06-01,7500000
Alessandro Zanoli,Napoli,RB RM,73,24,78,54,62,67,71,68,188,Right,2020-09-01,2026-06-30,4800000
Alessio Zerbin,Napoli,RM LM LB RB,73,26,75,65,67,70,65,66,182,Right,2018-07-01,2026-06-30,3900000
Walid Cheddira,Napoli,ST,72,27,79,71,60,65,74,83,187,Right,2023-08-20,2026-06-30,3000000
Pasquale Mazzocchi,Napoli,RB RM,71,29,76,60,68,70,67,64,180,Right,2024-01-05,2027-06-01,1900000
Luca Marianucci,Napoli,CB,68,20,47,29,43,58,64,61,186,Right,2025-07-01,2026-06-30,2900000
Giovane,Napoli,ST RW RM,68,21,66,67,62,68,55,63,184,Left,2026-01-24,2030-06-01,3200000
Alisson,Napoli,LW RW LM,68,22,83,59,59,72,58,58,177,Right,2025-07-01,2026-06-30,3200000
Antonio Vergara,Napoli,RW RM CAM,67+2,22,70,61,62,66,60,57,185,Left,2023-07-01,2027-06-01,2700000
Nikita Contini,Napoli,GK,67,29,48,23,22,39,40,58,190,Right,2015-07-01,2026-06-01,1000000
Mathias Ferrante,Napoli,GK,53,18,24,12,17,26,39,59,202,Left,2025-07-16,2030-06-01,220000
