player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Gabriel Strefezza,Parma,RM LM RW,76,28,86,64,70,78,53,33,168,Right,2025-07-31,2026-06-30,9000000
Emanuele Valeri,Parma,LB LM,75,26,75,69,73,71,68,58,179,Left,2024-07-01,2028-06-01,7000000
Zion Suzuki,Parma,GK,75,22,57,17,21,38,50,78,190,Right,2024-07-15,2029-06-01,11500000
Hans Nicolussi Caviglia,Parma,CDM CM,75,25,66,69,77,72,70,67,184,Right,2025-07-01,2026-06-30,9000000
Adrián Bernabé,Parma,CM CDM,75,24,78,69,74,79,66,52,174,Left,2021-07-07,2027-06-01,10500000
Enrico Delprato,Parma,CB RB CDM,75,25,81,55,62,67,79,69,183,Right,2022-06-21,2027-06-01,8000000
Abdoulaye Ndiaye,Parma,CB,74,23,66,32,45,56,75,80,185,Left,2025-08-05,2029-06-01,7000000
Matija Frigan,Parma,ST,73,22,80,72,59,70,77,76,185,Left,2025-08-15,2030-06-01,8000000
Gaetano Oristanio,Parma,CAM ST RW CM,73,22,85,71,68,76,69,57,174,Left,2024-07-13,2026-06-30,6000000
Mandela Keita,Parma,CDM CM CB,73,23,77,58,62,73,77,74,181,Right,2024-08-30,2029-06-01,5000000
Jacob Ondrejka,Parma,LW LM,73,22,78,71,71,73,58,56,180,Right,2025-01-23,2029-06-01,8000000
Alessandro Circati,Parma,CB,72,21,59,37,49,53,76,80,189,Right,2022-07-01,2027-06-01,6000000
Oliver Sørensen,Parma,CM CAM,72,23,73,64,63,72,79,81,184,Left,2025-08-13,2030-06-01,4300000
Christian Ordoñez,Parma,CDM CM,71,20,81,47,59,70,79,77,177,Right,2025-07-01,2030-06-01,4600000
Adrian Benedyczak,Parma,LM LW,71,24,85,70,61,64,71,75,191,Right,2021-07-01,2028-06-01,3000000
Nahuel Estévez,Parma,CDM CM,71,29,68,68,73,72,67,58,181,Right,2022-07-02,2027-06-01,1900000
Pontus Almqvist,Parma,RM RW CAM,71,25,83,65,60,72,54,45,183,Left,2024-08-13,2027-06-01,2600000
Mateo Pellegrino,Parma,ST,69,23,55,68,47,61,73,83,192,Left,2025-02-03,2029-06-01,2600000
Lautaro Valenti,Parma,CB,69,26,69,52,54,59,75,74,188,Left,2021-07-01,2027-06-01,1800000
Benjamin Cremaschi,Parma,CM CAM RM,68,20,74,56,58,68,57,59,180,Right,2022-11-28,2026-06-30,3400000
Mariano Troilo,Parma,CB,66,22,43,30,36,45,71,90,194,Right,2025-08-21,2030-06-01,2300000
Edoardo Corvi,Parma,GK,66,24,26,16,27,34,39,54,185,Right,2022-10-15,2027-06-01,1200000
Nesta Elphege,Parma,ST,64,24,60,61,43,52,75,88,196,Left,2026-01-30,2027-06-01,950000
Franco Carboni,Parma,LB LM,63,22,62,43,54,57,65,65,190,Left,2024-07-01,2026-06-30,1200000
Filippo Rinaldi,Parma,GK,62,22,22,15,20,29,39,53,188,Right,2025-07-01,2029-06-01,925000
Sascha Britschgi,Parma,RB LB,62,18,67,32,44,55,57,57,182,Right,2025-08-27,2030-06-01,950000
Gianluca Astaldi,Parma,GK,56,19,26,13,16,26,37,59,191,Right,2025-07-01,2028-06-01,350000
Elia Plicco,Parma,CM CAM,53,18,62,46,48,57,40,42,183,Right,2025-07-04,2028-06-01,250000
