player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Calvin Stengs,Pisa,CAM CM,76,26,69,68,75,76,63,60,187,Left,2023-07-26,2026-06-30,10500000
Juan Cuadrado,Pisa,RM RB RW,76,37,77,72,76,76,66,57,179,Right,2025-08-06,2026-06-01,2900000
Rafiu Durosinmi,Pisa,ST,75,22,76,71,60,71,77,84,192,Right,2026-01-08,2026-06-01,11000000
Raúl Albiol,Pisa,CB,75,39,31,41,58,61,65,77,190,Right,2025-09-02,2026-06-01,1200000
Mattéo Tramoni,Pisa,CAM ST CM,74,25,89,68,68,78,68,59,175,Right,2022-08-18,2026-06-01,6500000
Michel Aebischer,Pisa,CM CDM,74,28,67,64,70,74,71,69,183,Right,2022-07-01,2026-06-30,5000000
Felipe Loyola,Pisa,CM CDM RB CAM,73,24,67,63,66,69,76,75,186,Right,2024-08-10,2026-06-30,4900000
Samuel Iling-Junior,Pisa,LM LB RM LW,72,21,81,64,68,74,63,59,182,Left,2024-07-01,2026-06-30,6000000
Simone Canestrelli,Pisa,CB,72,24,65,42,47,56,77,76,192,Right,2023-01-30,2027-06-01,3400000
Stefano Moreo,Pisa,ST CAM CM,72,32,76,68,61,68,80,84,191,Right,2023-01-20,2026-06-01,2200000
Simone Scuffet,Pisa,GK,72,29,50,22,28,45,52,65,190,Right,2025-07-23,2028-06-01,2300000
Samuele Angori,Pisa,LM LB LW,71,21,72,56,62,68,67,57,184,Left,2024-08-02,2027-06-01,4500000
Adrian Šemper,Pisa,GK,71,27,31,19,28,31,38,51,194,Right,2023-07-12,2027-06-01,2200000
Idrissa Touré,Pisa,RM RB,71,27,73,58,65,70,78,77,188,Right,2021-07-15,2027-06-01,2400000
Antonio Caracciolo,Pisa,CB,71,35,52,29,42,65,75,82,185,Right,2020-09-01,2026-06-01,575000
Mehdi Léris,Pisa,RM LM LB RB,70,27,71,64,65,67,74,74,186,Right,2024-08-13,2027-06-01,2000000
Henrik Meister,Pisa,ST,69,21,72,64,50,65,74,82,193,Right,2025-08-10,2028-06-01,3400000
Gabriele Piccinini,Pisa,CM CDM,68,24,66,56,63,67,70,69,184,Right,2021-07-15,2026-06-01,2800000
Filip Stojilković,Pisa,ST,68,25,86,65,47,66,67,70,186,Right,2026-01-30,2029-06-01,1900000
Marius Marin,Pisa,CM CDM,68,26,75,56,64,68,74,61,180,Right,2019-07-31,2026-06-01,1700000
Arturo Calabresi,Pisa,CB RB RM,68,29,49,37,53,62,71,77,186,Right,2022-08-09,2026-06-01,1200000
Nicolas,Pisa,GK,67,37,43,20,24,40,51,77,190,Right,2021-07-01,2026-06-01,130000
Ebenezer Akinsanmiro,Pisa,CM CAM,67,20,76,67,66,68,73,76,184,Right,2023-01-31,2026-06-30,2900000
Malthe Højholt,Pisa,CDM CM,66,24,64,46,52,67,62,57,182,Right,2024-08-13,2027-06-01,1500000
Lorran,Pisa,CAM CM,65,18,69,59,57,66,58,61,180,Left,2025-01-01,2026-06-01,2000000
Rosen Bozhinov,Pisa,CB,63,20,66,36,43,52,66,71,193,Left,2026-01-14,2030-06-01,1300000
Daniel Denoon,Pisa,CB,62,21,64,36,46,53,68,76,187,Right,2024-08-30,2026-06-30,975000
İsak Vural,Pisa,CM CDM,62,19,62,56,59,62,52,43,183,Right,2025-07-01,2028-06-01,1200000
Francesco Coppola,Pisa,CB,61,20,64,27,34,50,62,59,195,Right,2026-01-06,2029-06-01,875000
