player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Paulo Dybala,Roma,CAM ST,85,31,79,85,85,87,66,63,177,Left,2022-07-20,2026-06-01,52500000
Mile Svilar,Roma,GK,84,25,58,25,33,50,49,61,189,Right,2024-07-01,2027-06-01,51000000
Gianluca Mancini,Roma,CB,84,29,70,47,52,67,84,79,190,Right,2020-07-01,2027-06-01,41500000
Artem Dovbyk,Roma,ST,81,28,83,81,65,75,80,80,189,Left,2024-08-02,2029-06-01,31000000
Evan Ndicka,Roma,CB,81,25,74,52,62,68,83,81,192,Left,2023-07-01,2028-06-01,33500000
Bryan Cristante,Roma,CM CDM,81,30,53,74,75,73,81,78,186,Right,2019-07-01,2027-06-01,29000000
Kouadio Manu Koné,Roma,CM CDM,80,24,75,70,71,80,82,82,185,Right,2025-07-01,2029-06-01,35500000
Lorenzo Pellegrini,Roma,CAM CM,80,29,75,77,79,78,75,70,186,Right,2017-07-01,2026-06-01,24500000
Matías Soulé,Roma,CAM ST CM,79,22,82,75,78,79,62,51,176,Left,2024-07-30,2029-06-01,33500000
Donyell Malen,Roma,RM RW ST,79,26,87,78,70,82,68,66,176,Right,2025-01-14,2026-06-30,22500000
Mario Hermoso,Roma,CB,79,30,72,51,69,71,81,80,184,Left,2024-09-03,2028-06-01,17000000
Angeliño,Roma,LB LM,79,28,70,69,81,81,73,56,171,Left,2024-07-01,2028-06-01,19000000
Zeki Çelik,Roma,RB RM CB,78,28,72,59,68,73,76,70,180,Right,2022-07-05,2026-06-01,15000000
Stephan El Shaarawy,Roma,LM LW CAM,78,32,77,76,76,80,62,60,178,Right,2021-01-30,2026-06-01,13000000
Wesley,Roma,RM LM RB,78,21,90,62,69,80,78,74,178,Right,2025-07-28,2030-06-01,33500000
Bryan Zaragoza,Roma,LW LM,77,23,82,71,70,79,49,33,164,Right,2024-07-01,2026-06-30,19500000
Kostas Tsimikas,Roma,LB LM,77,29,79,58,75,75,74,69,179,Left,2020-08-10,2026-06-30,11000000
Neil El Aynaoui,Roma,CM CDM,76,23,62,64,71,71,76,75,185,Right,2025-07-20,2030-06-01,14000000
Tommaso Baldanzi,Roma,CAM CM,74,22,76,70,71,77,52,36,170,Left,2024-02-01,2026-06-30,8000000
Evan Ferguson,Roma,ST,74,20,67,74,58,70,72,76,188,Right,2021-01-09,2026-06-30,11000000
Devyne Rensch,Roma,RB CB CM,74,22,75,54,60,72,69,61,179,Right,2025-01-23,2029-06-01,7000000
Pierluigi Gollini,Roma,GK,74,30,47,23,24,47,49,68,194,Right,2025-01-24,2027-06-01,3300000
Daniele Ghilardi,Roma,CB,72,22,57,37,42,54,71,72,189,Right,2025-08-02,2030-06-01,6000000
Niccolò Pisilli,Roma,CM CAM,72,20,68,62,63,71,68,58,180,Right,2022-07-01,2029-06-01,6500000
Devis Vásquez,Roma,GK,72,27,38,17,22,37,43,68,195,Right,2025-07-29,2027-06-01,2700000
Robinio Vaz,Roma,ST,70,18,84,68,54,68,68,71,185,Right,2026-01-14,2030-06-01,4800000
Jan Ziółkowski,Roma,CB,69,20,62,31,39,52,70,69,194,Right,2025-08-29,2030-06-01,3400000
Radosław Żelezny,Roma,GK,64,18,29,13,20,28,41,64,193,Left,2025-07-23,2029-06-01,1400000
Lorenzo Venturino,Roma,RM LM RW,59,19,66,51,47,61,48,48,183,Right,2025-01-17,2026-06-30,625000
