player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Domenico Berardi,Sassuolo,RW RM,82,30,82,81,80,83,73,58,183,Left,2015-07-01,2029-06-01,34500000
Armand Laurienté,Sassuolo,LW LM,80,26,91,74,76,83,61,48,171,Right,2022-08-31,2027-06-01,27000000
Nemanja Matić,Sassuolo,CDM CM,77,36,34,68,72,69,72,82,194,Left,2025-08-26,2026-06-01,2400000
Kristian Thorstvedt,Sassuolo,CM CAM CDM,75,26,62,70,72,68,81,83,189,Left,2022-07-12,2027-06-01,8000000
Andrea Pinamonti,Sassuolo,ST,75,26,70,76,55,70,71,68,188,Right,2023-07-01,2027-06-01,9000000
M'Bala Nzola,Sassuolo,ST,74,28,83,71,59,69,78,88,185,Left,2023-08-10,2026-06-30,5000000
Arijanet Murić,Sassuolo,GK,74,26,45,21,37,45,48,71,197,Right,2024-07-17,2026-06-30,4700000
Ulisses Garcia,Sassuolo,LB CB LM,74,29,79,46,61,71,74,76,182,Left,2024-01-16,2026-06-30,4400000
Daniel Boloca,Sassuolo,CM CDM,73,26,59,60,66,70,73,74,188,Right,2023-07-13,2028-06-01,3900000
Ismaël Koné,Sassuolo,CM CDM,73,23,78,61,66,70,70,69,188,Right,2026-02-02,2029-06-01,5500000
Jay Idzes,Sassuolo,CB,73+1,25,53,48,56,61,80,79+2,190,Right,2025-08-09,2029-06-01,4500000
Tarik Muharemović,Sassuolo,CB,73,22,61,24,46,61,73,72,187,Left,2024-08-28,2030-06-01,5000000
Josh Doig,Sassuolo,LB LM,73,23,79,60,63,67,73,62,189,Left,2024-01-20,2028-06-01,5000000
Stefano Turati,Sassuolo,GK,72,23,34,17,21,34,42,54,188,Right,2019-07-01,2028-06-01,4700000
Aster Vranckx,Sassuolo,CM CDM,72-1,22,58,63,68,73,76,74-1,183,Right,2021-07-01,2026-06-30,4200000
Woyo Coulibaly,Sassuolo,RB LB RM,72,26,75,52,63,66,75,77,185,Right,2025-01-15,2026-06-30,3100000
Alieu Fadera,Sassuolo,LM LW,71,23,82,61,62,74,70,67,182,Right,2024-08-14,2026-06-30,3500000
Fali Candé,Sassuolo,CB,71,27,80,54,63,67,77,73,184,Left,2025-08-10,2028-06-01,2400000
Sebastian Walukiewicz,Sassuolo,CB RB,71,25,58,38,48,61,72,75,188,Right,2024-08-30,2026-06-30,2900000
Cristian Volpato,Sassuolo,RW RM,70+1,21,72,65,65,67,59,63,187,Left,2023-07-01,2028-06-01,4200000
Filippo Romagna,Sassuolo,CB,70,28,44,36,44,61,64,68,186,Right,2020-09-17,2026-06-01,1600000
Pedro Felipe,Sassuolo,CB,69,21,75,48,51,65,75,78,190,Right,2025-07-01,2026-06-30,3500000
Luca Moro,Sassuolo,ST,68,24,66,65,44,64,62,70,189,Right,2022-01-31,2027-06-01,2200000
Edoardo Pieragnolo,Sassuolo,LB LM,67,22,70,38,56,59,62,59,184,Left,2024-07-01,2027-06-01,1600000
Luca Lipani,Sassuolo,CM CDM,67+1,20,55,48,58,63,61,53,185,Right,2023-08-08,2028-06-01,2600000
Edoardo Iannoni,Sassuolo,CM CDM,67,24,61,60,63,62,65,64,185,Right,2024-08-23,2028-06-01,1800000
Giacomo Satalino,Sassuolo,GK,66,26,20,15,20,31,36,51,188,Right,2018-07-01,2026-06-01,1000000
Darryl Bakola,Sassuolo,CAM CM,66,17,64,56,63,68,64,73,178,Right,2026-02-02,2030-06-01,2300000
Gioele Zacchi,Sassuolo,GK,62,21,25,15,19,33,39,59,185,Right,2025-07-01,2027-06-01,925000
