player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Duván Zapata,Torino,ST,81,34,74,80,61,73,82,90,188,Right,2024-07-01,2026-06-01,15000000
Nikola Vlašić,Torino,CAM CM LW,80+1,27,75,76,76,80,73,65,179,Right,2023-08-08,2027-06-01,26500000
Vanja Milinković-Savić,Torino,GK,79,28,43,26,36,41,52,73,202,Right,2017-07-01,2026-06-30,17500000
Ché Adams,Torino,ST,78,28,82,77,62,77,74,68,175,Right,2024-07-23,2027-06-01,17000000
Cristiano Biraghi,Torino,LB LM,77-1,32,72,70,80,75,73,66,185,Left,2025-07-01,2027-06-01,8500000
Saúl Coco,Torino,CB,76,26,85,52,57,61,80,81,187,Right,2024-07-17,2029-06-01,10500000
Perr Schuurs,Torino,CB,76,25,68,61,70,63,68,75,191,Right,2022-08-18,2026-06-01,11500000
Guillermo Maripán,Torino,CB,76,31,33,40,49,54,76,84,190,Right,2024-08-29,2026-06-01,6000000
Giovanni Simeone,Torino,ST,76,29,71,76,63,73,75,71,181,Right,2023-07-01,2026-06-30,9000000
Valentino Lazaro,Torino,RM LM LB RB,76,29,72,68,75,76,68,61,181,Right,2023-08-23,2027-06-01,8500000
Cesare Casadei,Torino,CM CDM,75+1,22,66,69,72,70,73,69,192,Right,2025-02-02,2029-06-01,15000000
Franco Israel,Torino,GK,75,25,31,15,25,37,46,80,190,Right,2025-07-27,2028-06-01,8000000
Ivan Ilić,Torino,CDM CM,75-1,24,68,69,74,74,68,66,186,Left,2023-07-01,2027-06-01,9000000
Ardian Ismajli,Torino,CB,74,28,67,31,44,66,72,66,185,Right,2025-07-08,2027-06-01,4300000
Zakaria Aboukhlal,Torino,CAM RM LM CM,74,25,83,69,66,74,75,72,179,Left,2025-07-29,2029-06-01,7500000
Adrien Tameze,Torino,CDM CM CB,74,31,76,64,63,76,73,69,182,Right,2023-07-23,2026-06-01,3500000
Saba Sazonov,Torino,CB,73,23,60,44,50,61,70,76,194,Right,2023-08-31,2026-06-01,4900000
Niels Nkounkou,Torino,LM LB LW,73,24,83,47,64,72,71,73,180,Left,2023-09-01,2026-06-30,4900000
Marcus Pedersen,Torino,RB RM,73+1,24,89,53,66,71,67,62,184,Right,2024-08-22,2027-06-01,4300000
Matteo Prati,Torino,CDM CM,72,21,61,67,70,70,68,66,185,Right,2023-08-17,2026-06-30,6000000
Sebastian Walukiewicz,Torino,CB RB,71,25,58,38,48,61,72,75,188,Right,2024-08-30,2026-06-30,2900000
Gvidas Gineitis,Torino,CM CDM,70+2,21,53,61,69,65,65,66,191,Left,2022-01-31,2029-06-01,4200000
Sandro Kulenović,Torino,ST,70,25,79,70,54,61,81,78,191,Right,2026-01-30,2029-06-01,2500000
Alberto Paleari,Torino,GK,70+1,32,32,17,23,37,42,58,193,Right,2024-07-19,2026-06-01,925000
Obrador,Torino,LB LM,69,21,81,45,56,63,67,62,181,Left,2025-07-11,2026-06-30,3500000
Enzo Ebosse,Torino,CB,69,26,56,38,50,58,70,75,185,Left,2022-07-29,2026-06-30,2000000
Luca Marianucci,Torino,CB,68,20,47,29,43,58,64,61,186,Right,2025-07-01,2026-06-30,2900000
Tino Anjorin,Torino,CM CAM,68,23,75,65,65,71,69,73,185,Right,2024-08-29,2026-06-30,2800000
Alieu Njie,Torino,ST LW LM,65,20,78,63,52,69,58,43,177,Right,2024-09-20,2027-06-01,2000000
Emirhan İlkhan,Torino,CM CDM,63,21,66,57,60,68,47,33,175,Right,2022-08-08,2026-06-01,1300000
Aaron Ciammaglichella,Torino,CM CDM,62,20,67,57,59,64,60,55,180,Right,2024-08-25,2027-06-01,1100000
Sergiu Perciun,Torino,CM CDM,59,19,68,49,53,60,50,52,175,Right,2025-04-23,2029-06-01,625000
Tommaso Gabellini,Torino,ST,56,18,57,54,44,55,49,56,180,Left,2024-08-15,2028-06-01,400000
