player_name,team_name,positions,overall,age,pac,sho,pas,dri,def,phy,height_cm,preferred_foot,contract_start,contract_end,market_value
Oumar Solet,Udinese,CB,78,25,78,45,54,66,83,88,192,Right,2025-01-01,2027-06-01,22000000
Nicolò Zaniolo,Udinese,ST RW RM,75,25,74,73,71,72,76,80,190,Left,2024-07-08,2026-06-30,8000000
Jesper Karlström,Udinese,CDM CM,75,30,64,58,69,70,76,74-2,185,Right,2024-08-03,2026-06-01,5500000
Arthur Atta,Udinese,CM RM CAM,74,22,72,68,67,75,72,72,189,Right,2025-07-01,2029-06-01,11000000
Maduka Okoye,Udinese,GK,74,25,25,15,28,35,49,75,197,Right,2023-08-24,2028-06-01,5500000
Jurgen Ekkelenkamp,Udinese,CM LM CAM,74,25,70,67,72,71,75,75,188,Right,2024-08-06,2029-06-01,6500000
Alessandro Zanoli,Udinese,RB RM,73,24,78,54,62,67,71,68,188,Right,2020-09-01,2026-06-30,4800000
Martín Payero,Udinese,CM CAM,73,26,70,66,71,73,71,72,182,Right,2023-09-01,2026-06-30,3900000
Keinan Davis,Udinese,ST,73,27,68,70,52,71,76,81,189,Left,2023-09-01,2027-06-01,3900000
Sandi Lovrič,Udinese,CM CDM,73,27,62,62,72,71,65,61,180,Right,2022-07-01,2026-06-30,3800000
Christian Kabasele,Udinese,CB,73,34,53,51,45,59,76,78,187,Right,2023-07-25,2026-06-01,1200000
Thomas Kristensen,Udinese,CB,72,23,62,27,43,57,76,78,198,Right,2023-09-01,2028-06-01,5500000
Jakub Piotrowski,Udinese,CM CDM,72+1,27,69,63,65,69,77,78,188,Right,2025-08-02,2029-06-01,2900000
Adam Buksa,Udinese,ST,72-1,28,60,71,53,65,76,81-1,191,Left,2025-08-26,2029-06-01,2800000
Hassane Kamara,Udinese,LB LM,72,31,83,60,63,76,71,61,170,Left,2022-08-23,2026-06-01,2000000
Nicolò Bertola,Udinese,CB,71+1,22,58,35,42,52,74,80,192,Right,2025-07-01,2030-06-01,4200000
Răzvan Sava,Udinese,GK,71,23,26,14,18,29,41,58,197,Right,2024-08-23,2029-06-01,4200000
Oier Zarraga,Udinese,CM CDM,71,26,70,59,68,75,62,58,175,Right,2023-07-01,2027-06-01,2400000
Kingsley Ehizibue,Udinese,RB RM,71-1,30,85,55,60,66,75,71-1,189,Right,2022-08-30,2026-06-01,1900000
Lennon Miller,Udinese,CM CDM CAM,70,18,73,64,69,69,68,62,182,Right,2025-08-12,2030-06-01,4300000
Jordan Zemura,Udinese,LB LM,70,25,74,57,67,71,60,50,179,Left,2023-07-01,2027-06-01,2300000
Vakoun Issouf Bayo,Udinese,ST,69,28,76,68,52,64,78,82,184,Right,2024-08-29,2028-06-01,1700000
Enzo Ebosse,Udinese,CB,69,26,56,38,50,58,70,75,185,Left,2022-07-29,2026-06-30,2000000
Idrissa Gueye,Udinese,ST,69,18,67,66,47,64,65,72,185,Right,2025-01-10,2026-06-30,3500000
Daniele Padelli,Udinese,GK,65,39,44,18,22,38,35,45,191,Right,2021-07-01,2026-06-01,90000
Branimir Mlačić,Udinese,CB,65,18,61,45,47,55,67,77,192,Right,2026-02-02,2031-06-01,1800000
Juan David Arizala,Udinese,RM RW,63,19,82,50,47,65,51,47,183,Left,2026-01-06,2030-06-01,1300000
Alessandro Nunziante,Udinese,GK,56,18,27,13,19,31,43,72,195,Right,2025-07-29,2030-06-01,375000
Abdoulaye Camara,Udinese,CDM CM,54,16,55,40,46,52,60,65,186,Right,2025-07-16,2029-06-01,375000
