team_id,team_name,ovr,att,mid,def,budget,avg_age,youth_dev
1,Bayern München,84,89,85,83,4300000000,23.5,5
2,Borussia Dortmund,81,81,81,82,1700000000,24.6,7
3,RB Leipzig,79,78,79,79,604100000,22.4,4
4,Bayer 04 Leverkusen,79,82,79,78,555700000,22.9,7
5,Eintracht Frankfurt,78,78,78,78,698800000,23.6,6
6,VfB Stuttgart,77,80,77,76,356000000,22.9,8
7,TSG 1899 Hoffenheim,77,77,76,75,330200000,23.7,8
8,VfL Wolfsburg,76,80,76,75,338900000,23.5,2
9,Borussia M'gladbach,75,76,75,75,308700000,24.1,7
10,1. FC Union Berlin,75,74,74,76,148400000,25.5,2
11,Werder Bremen,75,74,76,74,202000000,24.1,6
12,SC Freiburg,75,73,75,77,297500000,25.4,10
13,1. FSV Mainz 05,75,72,79,75,139600000,25.6,7
14,1. FC Köln,74,74,73,72,181100000,24.1,8
15,Hamburger SV,75,73,73,75,195200000,23.7,6
16,FC Augsburg,74,77,74,74,162100000,23.9,5
17,1. FC Heidenheim,72,77,72,72,48200000,25.1,1
18,FC St. Pauli,72,70,72,73,66200000,24.7,4
