team_id,team_name,ovr,att,mid,def,budget,avg_age,youth_dev
1,Liverpool,85,86,84,83,4700000000,23.8,4
2,Arsenal,85,84,85,85,2500000000,24.8,7
3,Manchester City,84,86,85,82,4600000000,23.4,3
4,Aston Villa,81,82,78,80,800000000,24.0,5
5,Tottenham Hotspur,81,79,79,81,2400000000,22.6,6
6,Newcastle United,81,80,84,79,900000000,25.5,5
7,Chelsea,81,80,82,80,2300000000,21.6,4
8,Manchester United,80,82,80,80,5700000000,22.9,9
9,Nottingham Forest,79,77,78,82,440000000,24.1,6
10,Crystal Palace,79,80,78,78,760000000,24.0,3
11,Everton,78,76,79,77,700000000,24.3,5
12,Brighton & Hove Albion,78,79,79,78,785000000,23.9,8
13,AFC Bournemouth,79,78,77,76,410000000,23.8,3
14,Fulham,78,77,78,76,780000000,25.5,7
15,Sunderland,77,76,77,79,350000000,23.6,9
16,West Ham United,77,74,79,76,915300000,24.8,6
17,Brentford,77,79,78,77,430000000,22.9,3
18,Leeds United,76,76,76,76,390000000,25.1,4
19,Burnley,75,74,74,76,370000000,24.7,4
20,Wolverhampton Wanderers,74,74,75,75,550000000,24.4,5
