team_id,team_name,ovr,att,mid,def,budget,avg_age,youth_dev
1,Real Madrid,85,85,81,83,5800000000,23.5,4
2,FC Barcelona,85,85,86,83,4900000000,23.4,8
3,Atlético de Madrid,82,84,81,81,1400000000,25.1,5
4,Athletic Club de Bilbao,80,78,81,79,285000000,24.5,10
5,Villarreal CF,79,80,81,79,400000000,24.0,7
6,Real Betis Balompié,79,79,78,77,180000000,25.9,6
7,Real Sociedad,77,82,77,74,155000000,24.8,6
8,Girona FC,77,76,77,75,8000000,25.6,3
9,Rayo Vallecano,77,80,77,76,10000000,26.5,5
10,CA Osasuna,77,81,76,76,15000000,26.1,7
11,RC Celta de Vigo,76,77,75,78,110000000,25.3,5
12,Valencia CF,76,76,76,75,450000000,25.3,6
13,RCD Mallorca,76,80,75,78,8000000,25.8,5
14,RCD Espanyol,76,75,75,77,65000000,24.9,6
15,Sevilla FC,74,74,75,76,480000000,26.0,7
16,Getafe CF,75,73,76,74,45000000,25.3,1
17,Elche CF,74,72,73,75,5000000,24.4,4
18,Deportivo Alavés,74,74,72,75,13000000,25.6,4
19,Levante UD,73,75,71,73,49000000,23.7,4
20,Real Oviedo,73,72,73,73,5000000,25.5,4
