team_id,team_name,ovr,att,mid,def,budget,avg_age,youth_dev
1,Lombardia FC,82,86,83,82,985000000,25.2,1
2,Napoli,81,79,82,82,562600000,26.0,1
3,Milano FC,81,86,80,77,1300000000,23.8,6
4,Juventus,80,81,80,80,1800000000,24.9,7
5,Roma,80,81,79,80,478500000,24.1,2
6,Bergamo Calcio,79,78,77,76,687000000,24.4,6
7,Latium,78,80,76,78,422500000,25.2,6
8,Fiorentina,76,78,73,75,417300000,24.0,7
9,Como,76,77,77,75,300000000,24.6,5
10,Bologna,76,76,77,74,459800000,25.1,7
11,Torino,76,78,72,74,270600000,24.2,5
12,Sassuolo,74,81,74,72,240000000,24.0,7
13,Cagliari,73,75,73,71,120000000,23.9,4
14,Hellas Verona,73,72,73,71,129800000,24.3,8
15,Genoa,73,73,73,71,256200000,24.2,6
16,Cremonese,73,74,72,73,50000000,26.8,3
17,Udinese,73,73,71,73,240200000,24.0,7
18,Parma,73,70,72,73,256200000,23.0,9
19,Pisa,72,73,73,72,97700000,25.3,6
20,Lecce,70,70,71,71,113400000,23.6,8
